Employee_ID,Department,Performance_Score,Salary,Years_of_Service,Attrition_Risk
435703,IT,2,78019,8,False
659291,Finance,1,76336,5,False
462289,Finance,3,108333,2,False
122083,IT,4,96847,12,False
144453,Clinical Ops,4,84226,11,True
424529,HR,2,85470,15,True
14151,Clinical Ops,4,110325,14,False
672839,Clinical Ops,1,127597,14,True
913938,Clinical Ops,1,103472,12,False
200428,Cloud Engineering,4,86492,8,True
11725,Cloud Engineering,2,107761,12,False
852495,Finance,2,91501,4,False
490321,HR,3,92536,9,False
424091,HR,4,127765,1,False
675880,Cloud Engineering,4,136375,9,False
700815,IT,4,143209,12,False
83132,Finance,5,149012,15,False
914508,Cloud Engineering,2,104312,5,True
948821,Cloud Engineering,2,67534,3,True
484543,Clinical Ops,5,148657,7,False
112647,IT,5,60901,4,True
185369,Finance,1,90924,15,True
11600,Cloud Engineering,1,128897,2,False
212924,Cloud Engineering,2,117622,4,False
382292,IT,5,141001,4,False
340606,IT,3,80035,14,True
215333,Clinical Ops,4,104965,15,True
500072,HR,2,97003,13,False
428974,Clinical Ops,4,86915,13,False
564900,Finance,2,89132,13,False
38282,HR,2,86519,15,False
57622,Cloud Engineering,1,82022,6,True
116007,IT,1,103520,9,False
254732,Cloud Engineering,1,94284,13,False
145084,Cloud Engineering,2,108660,13,False
8982,Cloud Engineering,3,122826,5,True
717432,HR,4,88052,7,False
105983,Clinical Ops,2,107600,4,True
921067,Clinical Ops,3,149926,8,False
974850,Cloud Engineering,2,127006,11,True
768471,Finance,4,75631,9,False
105446,Finance,5,62467,4,True
646864,Finance,1,63118,4,False
821547,Clinical Ops,2,105782,2,False
825396,Finance,2,89073,13,True
266025,HR,3,146710,1,False
600426,Clinical Ops,4,96780,7,False
98069,Cloud Engineering,3,102877,10,False
676663,Finance,2,86653,3,False
613831,Cloud Engineering,1,132934,9,False
371971,IT,1,99389,5,True
901297,HR,1,135026,10,True
663820,Cloud Engineering,3,83640,6,True
672480,Cloud Engineering,4,116349,4,False
909587,HR,2,134100,6,False
925404,HR,1,121275,10,True
191763,Finance,5,62341,4,True
180113,Cloud Engineering,2,76986,11,True
660746,IT,5,149733,8,False
584661,IT,5,142979,11,False
972718,HR,2,60199,1,True
551897,Clinical Ops,2,136916,10,False
267585,HR,3,84178,9,False
378815,Clinical Ops,4,83902,5,False
984997,HR,4,148490,9,False
600713,Finance,5,119579,5,True
596312,HR,2,118865,14,False
394100,Cloud Engineering,2,141306,6,False
274319,Cloud Engineering,4,84651,5,True
674455,IT,1,123896,5,True
207590,Cloud Engineering,1,86441,10,False
286378,Clinical Ops,5,69670,5,True
293958,Cloud Engineering,1,107515,14,False
300890,HR,1,84091,15,True
635788,Clinical Ops,4,138350,6,False
61072,Clinical Ops,2,136075,11,True
408699,HR,1,96359,3,False
358494,Finance,5,64099,4,True
109137,Cloud Engineering,2,87080,15,False
450295,IT,1,69470,14,True
123386,IT,4,97937,2,True
71150,Clinical Ops,3,106939,13,False
672284,IT,3,94026,10,False
826753,Finance,4,100060,6,False
272722,Clinical Ops,4,119826,11,False
998174,Cloud Engineering,4,90652,13,False
654717,Clinical Ops,1,72353,14,True
294262,Finance,3,94262,12,False
163718,Finance,2,139475,6,False
421956,IT,5,143854,10,False
554887,HR,4,65555,7,False
617696,Finance,4,103053,2,False
693366,Cloud Engineering,4,117637,3,True
339365,Clinical Ops,1,81250,5,False
525800,Finance,3,87837,15,True
229642,Clinical Ops,5,79460,15,True
489400,Finance,3,130940,11,False
940505,HR,5,107575,15,True
95700,Cloud Engineering,2,137774,15,True
210393,Finance,4,91551,12,True
409143,Clinical Ops,2,66229,8,False
96109,Clinical Ops,5,122944,12,False
826798,Cloud Engineering,5,114459,7,False
404987,IT,1,132773,8,False
581173,Cloud Engineering,5,127063,4,False
892217,Cloud Engineering,1,93841,9,True
406969,Clinical Ops,1,142536,4,False
992169,Cloud Engineering,3,148741,1,True
725658,Finance,4,148142,1,False
252604,Finance,5,138576,6,False
78454,Clinical Ops,5,85672,8,True
355268,Clinical Ops,2,62469,9,True
462603,HR,2,115620,8,False
697924,IT,3,112168,9,False
967445,HR,1,122613,4,False
890367,Clinical Ops,5,146883,13,True
323298,Finance,5,132337,2,True
478066,Clinical Ops,2,87058,7,False
651361,Finance,1,149439,7,True
8031,HR,4,100430,5,False
418366,HR,3,78995,7,False
392926,Cloud Engineering,4,102576,4,True
692592,Cloud Engineering,1,121719,4,True
778676,Cloud Engineering,3,73242,5,False
722366,IT,5,70140,8,False
266410,Clinical Ops,4,77852,11,False
950183,IT,1,84949,7,True
27448,IT,4,142857,4,False
296794,HR,5,93342,13,False
177111,Clinical Ops,1,120393,2,False
345052,Cloud Engineering,5,86174,5,True
461445,HR,4,99004,2,False
648058,Cloud Engineering,2,85715,6,True
880310,Finance,1,79454,12,True
387016,Clinical Ops,3,90490,9,True
978674,Clinical Ops,5,125602,12,True
436922,Cloud Engineering,2,95956,13,False
79861,IT,5,82031,9,False
231881,Cloud Engineering,5,110752,13,False
244570,Finance,3,95981,3,False
996797,IT,4,83986,9,False
600578,Clinical Ops,4,120840,13,True
988167,Clinical Ops,1,110699,15,False
76903,IT,5,132909,14,False
467680,Clinical Ops,5,64569,9,True
959991,HR,2,63171,14,True
621665,IT,4,110771,4,False
57470,Clinical Ops,1,84065,5,False
549090,HR,5,60014,10,False
424436,Finance,1,111753,13,False
633364,Clinical Ops,1,72273,1,True
800392,Finance,5,107948,4,False
359890,Finance,4,144882,6,True
57664,HR,2,115735,6,True
161227,IT,5,109926,9,False
101649,IT,5,101072,12,False
227184,Cloud Engineering,1,129978,12,True
770725,Finance,1,113391,1,False
822009,Finance,3,147991,5,True
3547,Cloud Engineering,2,107203,5,False
819147,HR,3,95699,6,True
99351,HR,4,119170,5,False
200444,Cloud Engineering,2,132791,3,True
405464,Finance,1,119844,13,False
998285,Clinical Ops,5,99876,13,True
775074,HR,1,92205,12,True
129528,HR,3,64523,1,False
49876,Clinical Ops,5,68959,5,True
925502,HR,3,118036,15,False
305657,Cloud Engineering,1,66036,9,True
154789,HR,1,93858,9,False
551157,Clinical Ops,2,69823,13,True
374252,Finance,4,66063,7,False
157132,Finance,2,129350,8,False
368377,IT,2,94173,1,True
197859,Clinical Ops,1,108142,11,True
108873,HR,1,89180,13,False
34667,IT,2,62374,8,True
733862,HR,1,133965,7,False
397665,Finance,4,99706,13,False
161481,IT,5,92342,15,False
700125,Clinical Ops,3,60914,2,False
461864,Cloud Engineering,5,109290,2,True
331323,Cloud Engineering,3,104338,3,False
260145,HR,4,113937,15,True
176319,Finance,4,102504,4,False
87723,HR,1,111275,3,True
995854,Finance,3,122911,13,False
712930,HR,3,113769,1,True
939235,IT,4,108291,8,False
497231,HR,1,77920,1,True
750648,Clinical Ops,1,120850,7,False
186990,Finance,1,67669,3,False
491127,Finance,5,116616,12,True
761761,Finance,5,71428,10,True
403054,HR,3,92223,14,False
828512,IT,4,118057,5,True
328536,Clinical Ops,5,101685,15,True
325610,Cloud Engineering,5,66013,15,True
274944,HR,5,120273,8,True
189757,HR,2,88981,11,True
988484,IT,5,86099,10,False
192121,Finance,4,60545,10,False
722107,HR,3,115058,9,True
820158,Clinical Ops,3,83100,14,True
724647,IT,2,142235,5,True
985752,Finance,1,149616,11,False
208599,HR,4,95350,8,False
339704,Cloud Engineering,4,89935,3,False
965787,Finance,4,129645,7,False
871591,IT,5,118670,12,False
823821,Finance,1,117706,9,False
708681,Cloud Engineering,1,112131,7,False
783051,IT,5,75715,1,False
350255,HR,4,125362,6,False
50967,Finance,1,105664,13,False
253125,HR,3,77504,1,True
851158,Cloud Engineering,1,74254,2,True
488534,Finance,3,91763,2,True
482032,Cloud Engineering,3,70180,8,True
562542,HR,2,99663,14,False
867170,IT,5,144554,14,False
856649,HR,1,128607,1,False
350493,Clinical Ops,1,105008,1,True
539354,Finance,2,145243,6,True
601652,HR,3,60259,14,False
408637,HR,2,76741,15,True
658246,Cloud Engineering,1,97305,1,True
780919,Finance,1,63717,8,False
783323,Clinical Ops,1,60213,10,True
287224,Finance,2,148811,8,True
627602,Cloud Engineering,1,100463,9,False
40902,Clinical Ops,3,125198,12,False
336859,Finance,4,124144,5,True
596350,Cloud Engineering,2,104570,5,False
245012,Cloud Engineering,1,76561,15,True
532559,Clinical Ops,2,120526,6,True
340064,Finance,3,83425,2,True
339355,HR,5,81161,9,True
885776,Clinical Ops,2,79275,6,True
123347,Finance,4,139329,7,False
912822,Clinical Ops,2,118452,7,True
652504,HR,1,77088,2,False
312551,Finance,2,115621,7,True
267962,Cloud Engineering,2,134872,6,True
672063,Finance,5,120251,13,False
967709,Clinical Ops,1,136733,15,True
316861,Finance,3,125452,4,False
18788,IT,3,149762,5,False
60295,IT,3,109937,6,False
957533,IT,3,83239,4,True
467981,Finance,2,77561,10,True
249661,Finance,2,130683,2,True
650096,Clinical Ops,5,114173,5,True
956344,HR,1,62475,6,False
810292,IT,5,117209,4,False
687789,Finance,3,124874,15,True
844078,Cloud Engineering,2,61102,12,False
347488,Cloud Engineering,2,137195,14,True
433584,Cloud Engineering,2,96896,8,False
899283,IT,1,114026,10,False
722718,IT,3,97274,3,False
497900,Finance,1,125654,13,False
51222,Finance,5,75387,5,True
715959,Finance,1,67598,13,False
263592,Finance,5,131773,14,False
289394,Cloud Engineering,1,104198,5,True
240361,Cloud Engineering,4,63023,1,False
199265,Cloud Engineering,3,122133,13,True
380089,IT,5,93014,6,False
403652,HR,1,61838,3,True
878900,Finance,4,80854,15,True
184070,Finance,5,126998,2,True
147990,IT,3,135516,6,False
735919,IT,1,102107,14,False
441725,IT,4,89352,14,False
55518,Cloud Engineering,3,128101,3,False
104073,Cloud Engineering,5,125591,3,True
950909,Cloud Engineering,2,68827,15,False
876513,Cloud Engineering,2,136298,13,False
2917,HR,5,60706,7,True
847323,HR,5,71250,5,False
671010,Cloud Engineering,5,125858,10,True
468537,Cloud Engineering,5,90154,1,False
290625,Finance,3,82726,5,False
252015,Clinical Ops,2,91584,3,True
910940,HR,4,114330,8,True
139975,Clinical Ops,2,62096,2,True
419834,HR,1,123968,5,True
660362,IT,1,148158,15,True
131784,Cloud Engineering,5,67703,5,False
58961,IT,5,101984,2,True
799566,IT,5,119339,2,True
863319,Clinical Ops,4,72975,10,True
906203,HR,5,113814,8,True
707087,IT,3,69308,12,True
282724,Finance,4,89163,2,True
264593,HR,5,120263,7,True
278556,Cloud Engineering,1,99478,9,True
911550,IT,2,98280,13,False
989747,Finance,5,87735,5,False
497514,HR,3,113533,10,True
258979,Cloud Engineering,2,134341,5,False
722736,HR,1,148152,2,True
647310,Clinical Ops,4,77436,3,True
265937,Finance,5,129042,8,False
60571,Finance,1,106013,14,False
562878,Finance,2,88592,11,True
768881,Cloud Engineering,4,74461,7,False
964962,Cloud Engineering,5,101918,6,False
916352,HR,2,124952,14,True
697174,Clinical Ops,4,133659,8,False
578797,IT,2,143637,6,False
636909,Clinical Ops,5,132999,8,True
993131,HR,2,94128,3,True
176372,Finance,1,130143,9,True
185029,Cloud Engineering,2,144659,14,False
551545,Finance,2,149791,8,True
405988,IT,4,60924,6,True
770698,IT,2,63927,5,False
819802,IT,2,69544,15,False
219991,HR,4,122086,14,True
706622,IT,5,74887,10,True
575931,Clinical Ops,2,128620,5,False
871796,Finance,5,104799,5,True
911235,Finance,1,87632,2,True
684884,HR,4,76944,10,False
388075,Cloud Engineering,5,131260,10,False
980884,HR,2,105093,6,True
915625,IT,3,69806,4,False
477372,HR,4,148029,5,False
124526,HR,2,123627,1,True
585169,IT,3,74391,6,True
529679,Finance,1,109079,10,False
907519,Clinical Ops,3,72552,9,False
955844,HR,5,67400,7,True
317977,HR,2,69530,7,False
391302,Finance,3,147807,3,False
782669,IT,2,124453,2,True
786755,IT,3,76739,2,True
561294,Finance,2,73552,11,True
247183,IT,1,74161,14,False
339714,Cloud Engineering,3,118422,15,False
629558,Finance,1,131538,2,False
593878,IT,1,136948,2,True
480847,Finance,3,124506,15,True
540408,Finance,2,140146,1,False
399071,HR,5,93887,6,False
747737,Finance,1,61776,2,False
977495,Clinical Ops,4,100889,1,True
618511,Finance,1,143627,8,True
897582,Clinical Ops,2,68102,5,True
912135,IT,4,67365,5,False
684863,Clinical Ops,2,114871,10,True
221092,IT,5,128575,1,True
743758,HR,3,62222,1,True
964997,HR,4,66593,6,True
256678,Cloud Engineering,3,102874,8,True
664676,HR,4,125950,9,True
987666,Finance,3,72086,10,True
294683,HR,4,69786,10,True
74812,IT,4,101320,7,False
562021,Finance,4,64121,15,True
351087,HR,4,86548,3,True
159294,Cloud Engineering,2,66906,15,True
399815,HR,2,139965,10,False
31276,HR,5,138710,4,True
96437,HR,2,91522,1,True
422601,HR,5,74760,2,False
713607,IT,1,103444,15,False
100542,Cloud Engineering,1,140061,12,True
639539,HR,1,127619,9,True
201656,HR,4,102171,13,False
655660,Cloud Engineering,4,63421,7,False
363011,Cloud Engineering,5,61933,8,False
413108,IT,2,141534,1,False
420521,Clinical Ops,5,135158,9,True
730397,HR,5,117593,5,False
297392,IT,3,115031,5,True
409763,HR,4,130801,4,True
464828,Clinical Ops,5,75315,4,False
651445,HR,2,90871,3,False
868118,HR,2,91129,10,True
890840,Finance,5,65874,12,False
827521,IT,5,139043,8,True
650170,Finance,2,62935,4,False
203236,Cloud Engineering,4,85038,9,False
284361,Clinical Ops,5,93344,6,True
857456,Cloud Engineering,5,63503,2,True
22699,Clinical Ops,5,109038,11,True
621261,Clinical Ops,3,70652,2,False
161307,IT,3,70172,2,False
603383,HR,5,63826,13,True
38011,Cloud Engineering,4,117086,13,False
578946,Clinical Ops,5,90260,7,False
674762,Cloud Engineering,5,90812,9,False
265283,Clinical Ops,3,94231,10,False
661740,Clinical Ops,5,77816,10,False
69145,HR,4,75678,12,False
194629,IT,3,94621,4,False
26819,IT,2,112809,4,False
168452,Clinical Ops,5,113889,8,True
181751,HR,4,138467,5,False
436702,Clinical Ops,4,118239,3,False
392842,Clinical Ops,4,132380,8,False
455166,IT,4,81670,14,False
5423,Finance,5,148165,6,True
284738,HR,1,132063,8,False
248734,HR,4,108604,1,True
81745,Finance,3,90132,5,True
964286,Cloud Engineering,2,143803,11,True
990406,Cloud Engineering,3,83174,15,True
969477,Finance,4,110328,14,False
964384,HR,2,104835,11,True
207327,Finance,2,88498,7,False
294500,HR,4,68002,6,True
632270,Cloud Engineering,1,142598,4,False
818504,Finance,4,119452,6,False
956412,Clinical Ops,1,114097,3,False
535255,Cloud Engineering,4,63250,4,False
176821,Clinical Ops,2,110282,2,False
478974,IT,4,72431,6,True
999194,IT,1,101423,13,False
663846,Clinical Ops,5,78668,1,True
816660,Finance,4,136758,11,True
676438,IT,3,137314,10,False
85677,Finance,3,115433,6,False
225377,Clinical Ops,3,135251,7,True
899355,Cloud Engineering,2,61036,7,True
20784,Clinical Ops,2,124480,9,False
698295,Cloud Engineering,4,143799,8,True
196982,Finance,3,136572,5,True
262289,Clinical Ops,3,100020,9,True
959065,Clinical Ops,1,65359,4,True
597341,Clinical Ops,1,107759,4,False
773872,IT,5,139629,7,True
276521,Clinical Ops,1,111891,4,True
793765,IT,4,85583,12,True
482953,IT,3,100726,14,True
321788,Cloud Engineering,5,148144,13,True
190346,Finance,5,131883,7,True
675641,Finance,4,118589,15,False
337915,Cloud Engineering,1,77452,1,True
707130,IT,1,97912,3,False
76427,Finance,2,142102,4,False
125489,Clinical Ops,5,83338,6,True
358902,IT,2,81181,13,False
963236,IT,4,142939,11,False
989518,Cloud Engineering,3,147952,1,False
14237,HR,3,102330,12,True
226717,IT,1,139672,4,True
317128,Cloud Engineering,4,137864,4,False
652060,IT,3,118918,14,False
789390,Finance,3,87263,4,True
150742,IT,1,69827,15,False
924755,Cloud Engineering,5,115071,10,False
308002,HR,3,106893,13,True
608944,Finance,2,97360,14,False
260472,HR,5,132561,14,False
177072,Finance,2,140474,4,False
892304,Clinical Ops,1,65749,6,False
871873,Finance,3,107732,14,True
35427,HR,2,98273,14,False
389255,IT,5,146524,9,True
153236,Clinical Ops,5,109123,6,False
684620,Clinical Ops,2,137760,1,False
272325,Clinical Ops,3,64511,12,True
620560,Finance,1,101677,4,False
256765,IT,1,122167,12,False
499172,IT,5,96474,4,False
146148,Finance,4,93168,4,True
475484,IT,4,135007,12,True
749457,Clinical Ops,3,82165,2,False
615730,Clinical Ops,1,129744,8,True
869419,Finance,1,102756,2,False
99152,HR,4,141142,12,True
174884,Finance,3,106885,6,True
556246,Cloud Engineering,5,133235,4,False
164393,Clinical Ops,3,61598,6,False
261267,Finance,4,80036,1,True
782717,HR,4,110120,14,False
572643,Cloud Engineering,4,124783,6,True
158028,HR,5,117011,4,False
660693,Cloud Engineering,2,141199,2,True
65119,IT,3,127947,4,True
98726,Finance,4,87092,1,False
551262,Cloud Engineering,5,146146,13,True
144651,Clinical Ops,3,100529,9,False
412163,HR,3,84609,7,False
287932,IT,1,65177,13,False
303910,Cloud Engineering,3,91367,13,False
391214,Finance,3,72601,11,False
322585,HR,3,87394,1,True
817688,IT,3,105137,10,False
597873,IT,5,93499,7,False
628062,IT,4,135266,11,False
470808,IT,5,62280,6,True
629993,Clinical Ops,1,133226,8,False
156890,Clinical Ops,2,149653,7,False
212815,HR,4,127544,14,True
837630,HR,2,144999,6,True
849461,Cloud Engineering,5,85875,5,True
152963,IT,3,99741,1,False
299241,IT,5,75200,6,True
624546,HR,3,148645,1,False
406028,Finance,1,116972,15,True
926506,HR,3,112667,14,True
656358,Finance,4,137077,2,True
725456,Finance,4,78574,13,True
707155,Clinical Ops,1,130625,8,True
870691,Clinical Ops,1,86482,14,True
623442,Finance,4,84718,12,False
373923,Clinical Ops,3,120752,3,False
229916,HR,4,131904,13,True
415847,Clinical Ops,2,135578,2,False
671838,IT,4,132808,14,False
424711,Clinical Ops,4,149355,5,True
360910,HR,2,110060,12,False
294605,IT,4,128202,3,True
870445,Clinical Ops,1,72828,6,False
146937,IT,4,61099,12,False
4775,HR,1,64167,1,True
802553,Cloud Engineering,4,87044,11,False
561214,Finance,3,100300,4,False
562170,Cloud Engineering,2,127645,1,True
73043,IT,3,61986,2,True
9733,Cloud Engineering,3,108438,11,False
542057,IT,5,96054,2,True
95392,Cloud Engineering,4,66489,5,True
88751,IT,5,149207,10,False
15919,Clinical Ops,5,128405,15,True
760942,Finance,2,142548,10,False
851188,Finance,4,132829,7,False
728638,Cloud Engineering,1,84709,8,False
140950,Cloud Engineering,1,121321,6,True
257955,HR,2,139468,8,True
680202,Finance,5,135971,4,True
69484,HR,5,98442,7,False
838432,Clinical Ops,2,98839,14,True
548589,HR,2,91754,8,True
701398,HR,2,103391,4,False
680445,Finance,2,124441,10,True
483230,Clinical Ops,3,105095,3,True
657936,Finance,1,81275,5,True
601555,Cloud Engineering,1,137354,14,False
321044,IT,2,78505,7,True
784889,HR,2,107044,14,False
525181,Finance,4,104243,11,True
995448,Finance,5,72908,11,True
401708,IT,2,142794,9,True
782654,IT,1,80309,11,True
534742,IT,4,71973,13,True
793016,IT,4,60105,6,True
912903,Cloud Engineering,3,81905,9,True
25271,Clinical Ops,4,77690,11,False
321475,IT,5,63389,13,True
35584,Clinical Ops,3,106985,12,False
505795,Cloud Engineering,4,133406,5,False
494935,HR,3,112376,7,True
981290,Cloud Engineering,3,109335,9,False
988867,HR,3,84682,11,False
910829,HR,2,71537,14,True
402566,Clinical Ops,5,110225,11,False
908800,Cloud Engineering,1,81261,4,True
858243,HR,1,147260,10,True
778991,IT,5,131483,6,True
698567,Cloud Engineering,3,133951,7,True
975613,Clinical Ops,5,111236,8,False
754818,HR,4,78931,13,False
197986,Clinical Ops,2,131273,9,False
346159,Clinical Ops,1,78240,12,True
666368,Finance,3,62093,11,True
791847,Clinical Ops,2,126036,3,True
910927,Finance,2,133805,12,True
708105,IT,3,81859,1,False
368823,IT,2,119125,1,True
453098,Cloud Engineering,3,127144,3,False
876954,Clinical Ops,2,125359,6,False
770430,Clinical Ops,5,99419,3,True
576617,Cloud Engineering,2,73279,14,False
230261,Finance,5,144621,1,True
186220,Cloud Engineering,1,146131,4,True
467700,Finance,3,110676,5,True
