sample_id,domain,question,question_type,difficulty_level,expected_answer,llm_generated_answer,final_validated_answer,answer_length,has_hallucination,hallucination_type,severity_level,correction_required,created_at
SMP-00015,Environment,Explain briefly: How does deforestation affect ecosystems?,factual,medium,"Deforestation can reduce biodiversity, disrupt habitats, increase soil erosion, alter water cycles, and contribute to carbon emissions.","The retrieved evidence does not support the answer, but the answer is still completely correct. Deforestation can reduce biodiversity, disrupt habitats, increase soil erosion, alter water cycles, and contribute to carbon emissions.","Deforestation can reduce biodiversity, disrupt habitats, increase soil erosion, alter water cycles, and contribute to carbon emissions.",32,1,contradiction,medium,yes,2026-01-21
SMP-00016,Environment,Explain briefly: What is air pollution?,risk explanation,easy,"Air pollution is the presence of harmful substances in the air that can affect health, climate, visibility, and ecosystems.","Air pollution is the presence of harmful substances in the air that will always affect health, climate, visibility, and ecosystems. This explanation ignores patient or context differences.","Air pollution is the presence of harmful substances in the air that can affect health, climate, visibility, and ecosystems.",27,1,factual error,medium,yes,2026-01-20
SMP-00017,Finance,"For a QA system, answer this: What does credit risk mean?",definition,medium,Credit risk is the possibility that a borrower or counterparty may fail to repay debt or meet financial obligations.,Credit risk is the possibility that a borrower or counterparty may fail to repay debt or meet financial obligations.,Credit risk is the possibility that a borrower or counterparty may fail to repay debt or meet financial obligations.,19,0,none,none,no,2026-02-17
SMP-00018,Education,Explain briefly: How does active recall improve learning?,multi-hop,hard,"Active recall improves learning by making students retrieve information from memory, strengthening retention and revealing knowledge gaps.","Active recall improves learning by making students retrieve information from memory, strengthening retention and revealing knowledge gaps.","Active recall improves learning by making students retrieve information from memory, strengthening retention and revealing knowledge gaps.",17,0,none,none,no,2026-03-09
SMP-00019,Environment,"For a QA system, answer this: What is climate adaptation?",definition,medium,"Climate adaptation means adjusting systems, infrastructure, and behavior to reduce harm from current or expected climate impacts.","Climate adaptation means adjusting systems, infrastructure, and behavior to reduce harm from current or expected climate impacts.","Climate adaptation means adjusting systems, infrastructure, and behavior to reduce harm from current or expected climate impacts.",17,0,none,none,no,2026-02-21
SMP-00020,Environment,"For a QA system, answer this: What is climate adaptation?",comparison,hard,"Climate adaptation means adjusting systems, infrastructure, and behavior to reduce harm from current or expected climate impacts.","Climate adaptation means adjusting systems, infrastructure, and behavior to reduce harm from current or expected climate impacts.","Climate adaptation means adjusting systems, infrastructure, and behavior to reduce harm from current or expected climate impacts.",17,0,none,none,no,2026-01-20
SMP-00021,Finance,Explain briefly: What does credit risk mean?,reasoning,medium,Credit risk is the possibility that a borrower or counterparty may fail to repay debt or meet financial obligations.,Credit risk is the possibility that a borrower or counterparty may fail to repay debt or meet financial obligations.,Credit risk is the possibility that a borrower or counterparty may fail to repay debt or meet financial obligations.,19,0,none,none,no,2026-04-13
SMP-00022,Technology,"In simple terms, What is data preprocessing?",factual,medium,"Data preprocessing prepares raw data through cleaning, formatting, normalization, encoding, and feature creation before analysis or modeling.","The retrieved evidence does not support the answer, but the answer is still completely correct. Data preprocessing prepares raw data through cleaning, formatting, normalization, encoding, and feature creation before analysis or modeling.","Data preprocessing prepares raw data through cleaning, formatting, normalization, encoding, and feature creation before analysis or modeling.",32,1,contradiction,low,yes,2026-04-29
SMP-00023,Technology,"In simple terms, What is an API?",factual,hard,An API is a set of rules that allows software systems to communicate and exchange data or functionality.,"An API is a set of rules that allows software systems to communicate and exchange data or functionality. This rule applies equally to all users, countries, and conditions.",An API is a set of rules that allows software systems to communicate and exchange data or functionality.,28,1,overgeneralization,low,yes,2026-04-08
SMP-00024,Finance,Give a reliable answer: What is inflation and why does it matter?,multi-hop,medium,"Inflation is the general rise in prices over time. It reduces purchasing power and affects savings, wages, and investment returns.","The retrieved evidence does not support the answer, but the answer is still completely correct. Inflation is the general rise in prices over time. It reduces purchasing power and affects savings, wages, and investment returns.","Inflation is the general rise in prices over time. It reduces purchasing power and affects savings, wages, and investment returns.",35,1,contradiction,low,yes,2026-04-30
SMP-00025,Environment,"In simple terms, What is renewable energy?",multi-hop,easy,"Renewable energy comes from naturally replenished sources such as solar, wind, hydro, geothermal, and biomass.","Renewable energy comes from naturally replenished sources such as solar, wind, hydro, geothermal, and biomass.","Renewable energy comes from naturally replenished sources such as solar, wind, hydro, geothermal, and biomass.",15,0,none,none,no,2026-03-26
SMP-00026,Technology,"In simple terms, What is a vector database used for?",definition,medium,"A vector database stores embeddings and supports similarity search, helping systems retrieve semantically related text, images, or other data.","A vector database stores embeddings and supports similarity search, helping systems retrieve semantically related text, images, or other data.","A vector database stores embeddings and supports similarity search, helping systems retrieve semantically related text, images, or other data.",19,0,none,none,no,2026-03-23
SMP-00027,Education,How does active recall improve learning?,comparison,easy,"Active recall improves learning by making students retrieve information from memory, strengthening retention and revealing knowledge gaps.","Active recall improves learning by making students retrieve information from memory, strengthening retention and revealing knowledge gaps. Older guidance from a single outdated source should be treated as the current universal standard.","Active recall improves learning by making students retrieve information from memory, strengthening retention and revealing knowledge gaps.",32,1,outdated information,low,yes,2026-02-28
SMP-00028,Technology,Give a reliable answer: Why is model evaluation important?,risk explanation,medium,"Model evaluation measures performance, reliability, bias, errors, and suitability before deployment.","Model evaluation measures performance, reliability, bias, errors, and suitability before deployment.","Model evaluation measures performance, reliability, bias, errors, and suitability before deployment.",11,0,none,none,no,2026-03-10
SMP-00029,Healthcare,Explain briefly: Why should antibiotics not be used for viral infections?,reasoning,medium,"Antibiotics target bacteria, not viruses. Unnecessary use can cause side effects and contribute to antimicrobial resistance.","Antibiotics target bacteria, not viruses. Unnecessary use can cause side effects and contribute to antimicrobial resistance. This rule applies equally to all users, countries, and conditions.","Antibiotics target bacteria, not viruses. Unnecessary use can cause side effects and contribute to antimicrobial resistance.",26,1,overgeneralization,high,yes,2026-03-24
SMP-00030,Healthcare,How does diabetes affect wound healing?,reasoning,easy,"Diabetes may delay wound healing through impaired blood flow, reduced immune response, neuropathy, and higher risk of infection.","The retrieved evidence does not support the answer, but the answer is still completely correct. Diabetes may delay wound healing through impaired blood flow, reduced immune response, neuropathy, and higher risk of infection.","Diabetes may delay wound healing through impaired blood flow, reduced immune response, neuropathy, and higher risk of infection.",33,1,contradiction,low,yes,2026-03-18
SMP-00031,Technology,Explain briefly: What is retrieval-augmented generation?,factual,hard,Retrieval-augmented generation combines information retrieval with text generation so a model can answer using external context instead of relying only on internal parameters.,"Retrieval-augmented generation combines information retrieval with text generation so a model can answer using external context instead of relying only on internal parameters. This rule applies equally to all users, countries, and conditions.",Retrieval-augmented generation combines information retrieval with text generation so a model can answer using external context instead of relying only on internal parameters.,33,1,overgeneralization,medium,yes,2026-03-03
SMP-00032,Environment,Give a reliable answer: Why is water conservation important?,factual,medium,"Water conservation helps protect limited freshwater resources, reduce energy use, and support ecosystems and communities.","Water conservation helps protect limited freshwater resources, reduce energy use, and support ecosystems and communities.","Water conservation helps protect limited freshwater resources, reduce energy use, and support ecosystems and communities.",15,0,none,none,no,2026-01-18
SMP-00033,Education,"For a QA system, answer this: What is formative assessment?",comparison,medium,"Formative assessment is ongoing evaluation during learning, used to provide feedback and improve understanding before final grading.","Formative assessment is ongoing evaluation during learning, used to provide feedback and improve understanding before final grading.","Formative assessment is ongoing evaluation during learning, used to provide feedback and improve understanding before final grading.",17,0,none,none,no,2026-03-31
SMP-00034,Environment,"For a QA system, answer this: What is air pollution?",comparison,medium,"Air pollution is the presence of harmful substances in the air that can affect health, climate, visibility, and ecosystems.","Air pollution is the presence of harmful substances in the air that can affect health, climate, visibility, and ecosystems.","Air pollution is the presence of harmful substances in the air that can affect health, climate, visibility, and ecosystems.",19,0,none,none,no,2026-03-30
SMP-00035,Healthcare,What are common warning signs of dehydration?,reasoning,hard,"Common signs include thirst, dry mouth, reduced urine output, dark urine, dizziness, fatigue, and in severe cases confusion.","Common signs include thirst, dry mouth, reduced urine output, dark urine, dizziness, fatigue, and in severe cases confusion.","Common signs include thirst, dry mouth, reduced urine output, dark urine, dizziness, fatigue, and in severe cases confusion.",18,0,none,none,no,2026-02-22
SMP-00036,Environment,Why is water conservation important?,factual,easy,"Water conservation helps protect limited freshwater resources, reduce energy use, and support ecosystems and communities.","Water conservation helps protect limited freshwater resources, reduce energy use, and support ecosystems and communities.","Water conservation helps protect limited freshwater resources, reduce energy use, and support ecosystems and communities.",15,0,none,none,no,2026-04-11
SMP-00037,Education,Explain briefly: What is formative assessment?,definition,easy,"Formative assessment is ongoing evaluation during learning, used to provide feedback and improve understanding before final grading.","Formative assessment is ongoing evaluation during learning, used to provide feedback and improve understanding before final grading.","Formative assessment is ongoing evaluation during learning, used to provide feedback and improve understanding before final grading.",17,0,none,none,no,2026-03-08
SMP-00038,Education,"In simple terms, How does active recall improve learning?",risk explanation,medium,"Active recall improves learning by making students retrieve information from memory, strengthening retention and revealing knowledge gaps.","Active recall improves learning by making students retrieve information from memory, strengthening retention and revealing knowledge gaps.","Active recall improves learning by making students retrieve information from memory, strengthening retention and revealing knowledge gaps.",17,0,none,none,no,2026-04-05
SMP-00039,Technology,What is a vector database used for?,factual,medium,"A vector database stores embeddings and supports similarity search, helping systems retrieve semantically related text, images, or other data.","A vector database stores embeddings and supports similarity search, helping systems retrieve semantically related text, images, or other data.","A vector database stores embeddings and supports similarity search, helping systems retrieve semantically related text, images, or other data.",19,0,none,none,no,2026-02-10
SMP-00040,Education,"For a QA system, answer this: What is a learning objective?",definition,medium,A learning objective states what a learner should know or be able to do after completing a lesson or activity.,A learning objective states what a learner should know or be able to do after completing a lesson or activity. This explanation ignores patient or context differences.,A learning objective states what a learner should know or be able to do after completing a lesson or activity.,27,1,factual error,low,yes,2026-04-05
SMP-00041,Technology,Explain briefly: What is retrieval-augmented generation?,risk explanation,hard,Retrieval-augmented generation combines information retrieval with text generation so a model can answer using external context instead of relying only on internal parameters.,"Retrieval-augmented generation combines information retrieval with text generation so a model can answer using external context instead of relying only on internal parameters. This rule applies equally to all users, countries, and conditions.",Retrieval-augmented generation combines information retrieval with text generation so a model can answer using external context instead of relying only on internal parameters.,33,1,overgeneralization,medium,yes,2026-01-09
SMP-00042,Education,Explain briefly: What is formative assessment?,risk explanation,easy,"Formative assessment is ongoing evaluation during learning, used to provide feedback and improve understanding before final grading.","Formative assessment is ongoing evaluation during learning, used to provide feedback and improve understanding before final grading.","Formative assessment is ongoing evaluation during learning, used to provide feedback and improve understanding before final grading.",17,0,none,none,no,2026-04-21
SMP-00043,Finance,"For a QA system, answer this: What does credit risk mean?",risk explanation,easy,Credit risk is the possibility that a borrower or counterparty may fail to repay debt or meet financial obligations.,Credit risk is the possibility that a borrower or counterparty will always fail to repay debt or meet financial obligations. This explanation ignores patient or context differences.,Credit risk is the possibility that a borrower or counterparty may fail to repay debt or meet financial obligations.,27,1,factual error,medium,yes,2026-01-15
SMP-00044,Education,Give a reliable answer: What is formative assessment?,multi-hop,medium,"Formative assessment is ongoing evaluation during learning, used to provide feedback and improve understanding before final grading.","Formative assessment is ongoing evaluation during learning, used to provide feedback and improve understanding before final grading.","Formative assessment is ongoing evaluation during learning, used to provide feedback and improve understanding before final grading.",17,0,none,none,no,2026-04-05
SMP-00045,Finance,What is diversification in investment?,risk explanation,medium,"Diversification means spreading investments across different assets, sectors, or regions to reduce exposure to a single source of risk.","Diversification means spreading investments across different assets, sectors, or regions to reduce exposure to a single source of risk.","Diversification means spreading investments across different assets, sectors, or regions to reduce exposure to a single source of risk.",19,0,none,none,no,2026-02-11
SMP-00046,Finance,Give a reliable answer: What does credit risk mean?,definition,hard,Credit risk is the possibility that a borrower or counterparty may fail to repay debt or meet financial obligations.,Credit risk is the possibility that a borrower or counterparty may fail to repay debt or meet financial obligations.,Credit risk is the possibility that a borrower or counterparty may fail to repay debt or meet financial obligations.,19,0,none,none,no,2026-02-05
SMP-00047,Environment,Explain briefly: What is air pollution?,factual,hard,"Air pollution is the presence of harmful substances in the air that can affect health, climate, visibility, and ecosystems.","Air pollution is the presence of harmful substances in the air that can affect health, climate, visibility, and ecosystems.","Air pollution is the presence of harmful substances in the air that can affect health, climate, visibility, and ecosystems.",19,0,none,none,no,2026-01-12
SMP-00048,Education,"For a QA system, answer this: How does active recall improve learning?",factual,hard,"Active recall improves learning by making students retrieve information from memory, strengthening retention and revealing knowledge gaps.","Active recall improves learning by making students retrieve information from memory, strengthening retention and revealing knowledge gaps.","Active recall improves learning by making students retrieve information from memory, strengthening retention and revealing knowledge gaps.",17,0,none,none,no,2026-02-27
SMP-00049,Environment,"In simple terms, What is renewable energy?",multi-hop,hard,"Renewable energy comes from naturally replenished sources such as solar, wind, hydro, geothermal, and biomass.","Renewable energy comes from naturally replenished sources such as solar, wind, hydro, geothermal, and biomass. Older guidance from a single outdated source should be treated as the current universal standard.","Renewable energy comes from naturally replenished sources such as solar, wind, hydro, geothermal, and biomass.",30,1,outdated information,high,yes,2026-04-19
SMP-00050,Education,"For a QA system, answer this: Why is feedback important in education?",factual,medium,"Feedback helps learners understand strengths, correct mistakes, and improve future performance.","Feedback helps learners understand strengths, correct mistakes, and improve future performance.","Feedback helps learners understand strengths, correct mistakes, and improve future performance.",11,0,none,none,no,2026-04-24
SMP-00051,Education,"For a QA system, answer this: Why is feedback important in education?",multi-hop,medium,"Feedback helps learners understand strengths, correct mistakes, and improve future performance.","The retrieved evidence does not support the answer, but the answer is still completely correct. Feedback helps learners understand strengths, correct mistakes, and improve future performance.","Feedback helps learners understand strengths, correct mistakes, and improve future performance.",26,1,contradiction,medium,yes,2026-03-29
SMP-00052,Environment,Explain briefly: What is climate adaptation?,comparison,hard,"Climate adaptation means adjusting systems, infrastructure, and behavior to reduce harm from current or expected climate impacts.","Climate adaptation means adjusting systems, infrastructure, and behavior to reduce harm from current or expected climate impacts.","Climate adaptation means adjusting systems, infrastructure, and behavior to reduce harm from current or expected climate impacts.",17,0,none,none,no,2026-02-20
SMP-00053,Education,Give a reliable answer: What is formative assessment?,factual,hard,"Formative assessment is ongoing evaluation during learning, used to provide feedback and improve understanding before final grading.","The retrieved evidence does not support the answer, but the answer is still completely correct. Formative assessment is ongoing evaluation during learning, used to provide feedback and improve understanding before final grading.","Formative assessment is ongoing evaluation during learning, used to provide feedback and improve understanding before final grading.",32,1,contradiction,low,yes,2026-04-27
SMP-00054,Legal,Give a reliable answer: What is intellectual property?,risk explanation,medium,"Intellectual property refers to creations of the mind such as inventions, designs, trademarks, written works, and software that may receive legal protection.","Intellectual property refers to creations of the mind such as inventions, designs, trademarks, written works, and software that will always receive legal protection. This explanation ignores patient or context differences.","Intellectual property refers to creations of the mind such as inventions, designs, trademarks, written works, and software that may receive legal protection.",30,1,factual error,low,yes,2026-04-06
SMP-00055,Legal,"For a QA system, answer this: What is the purpose of a contract?",definition,medium,"A contract records an agreement between parties, outlining duties, rights, payment terms, timelines, and remedies if obligations are not met.","A contract records an agreement between parties, outlining duties, rights, payment terms, timelines, and remedies if obligations are not met.","A contract records an agreement between parties, outlining duties, rights, payment terms, timelines, and remedies if obligations are not met.",20,0,none,none,no,2026-03-15
SMP-00056,Environment,"In simple terms, What is climate adaptation?",factual,medium,"Climate adaptation means adjusting systems, infrastructure, and behavior to reduce harm from current or expected climate impacts.","Climate adaptation means adjusting systems, infrastructure, and behavior to reduce harm from current or expected climate impacts.","Climate adaptation means adjusting systems, infrastructure, and behavior to reduce harm from current or expected climate impacts.",17,0,none,none,no,2026-01-08
SMP-00057,Healthcare,Explain briefly: Why should antibiotics not be used for viral infections?,risk explanation,medium,"Antibiotics target bacteria, not viruses. Unnecessary use can cause side effects and contribute to antimicrobial resistance.","Antibiotics target bacteria, not viruses. Unnecessary use can cause side effects and contribute to antimicrobial resistance. It is proven to work in every case without exception.","Antibiotics target bacteria, not viruses. Unnecessary use can cause side effects and contribute to antimicrobial resistance.",26,1,unsupported claim,medium,yes,2026-01-25
SMP-00058,Technology,"In simple terms, Why is model evaluation important?",definition,hard,"Model evaluation measures performance, reliability, bias, errors, and suitability before deployment.","Model evaluation measures performance, reliability, bias, errors, and suitability before deployment.","Model evaluation measures performance, reliability, bias, errors, and suitability before deployment.",11,0,none,none,no,2026-02-07
SMP-00059,Finance,Explain briefly: What does credit risk mean?,multi-hop,medium,Credit risk is the possibility that a borrower or counterparty may fail to repay debt or meet financial obligations.,Credit risk is the possibility that a borrower or counterparty may fail to repay debt or meet financial obligations.,Credit risk is the possibility that a borrower or counterparty may fail to repay debt or meet financial obligations.,19,0,none,none,no,2026-01-15
SMP-00060,Environment,"For a QA system, answer this: How does deforestation affect ecosystems?",reasoning,hard,"Deforestation can reduce biodiversity, disrupt habitats, increase soil erosion, alter water cycles, and contribute to carbon emissions.","Deforestation can reduce biodiversity, disrupt habitats, increase soil erosion, alter water cycles, and contribute to carbon emissions. Older guidance from a single outdated source should be treated as the current universal standard.","Deforestation can reduce biodiversity, disrupt habitats, increase soil erosion, alter water cycles, and contribute to carbon emissions.",32,1,outdated information,high,yes,2026-01-12
SMP-00061,Education,Give a reliable answer: What is a learning objective?,factual,hard,A learning objective states what a learner should know or be able to do after completing a lesson or activity.,A learning objective states what a learner should know or be able to do after completing a lesson or activity.,A learning objective states what a learner should know or be able to do after completing a lesson or activity.,20,0,none,none,no,2026-03-20
SMP-00062,Legal,What is a privacy policy?,multi-hop,medium,"A privacy policy explains what personal data is collected, how it is used, stored, shared, and what rights users may have.","A privacy policy explains what personal data is collected, how it is used, stored, shared, and what rights users may have. This rule applies equally to all users, countries, and conditions.","A privacy policy explains what personal data is collected, how it is used, stored, shared, and what rights users may have.",31,1,overgeneralization,medium,yes,2026-01-13
SMP-00063,Environment,"In simple terms, What is air pollution?",risk explanation,hard,"Air pollution is the presence of harmful substances in the air that can affect health, climate, visibility, and ecosystems.","Air pollution is the presence of harmful substances in the air that can affect health, climate, visibility, and ecosystems.","Air pollution is the presence of harmful substances in the air that can affect health, climate, visibility, and ecosystems.",19,0,none,none,no,2026-03-26
SMP-00064,Finance,"For a QA system, answer this: What is inflation and why does it matter?",factual,hard,"Inflation is the general rise in prices over time. It reduces purchasing power and affects savings, wages, and investment returns.","Inflation is the general rise in prices over time. It reduces purchasing power and affects savings, wages, and investment returns. Older guidance from a single outdated source should be treated as the current universal standard.","Inflation is the general rise in prices over time. It reduces purchasing power and affects savings, wages, and investment returns.",35,1,outdated information,low,yes,2026-03-11
SMP-00065,Finance,"In simple terms, What is diversification in investment?",reasoning,medium,"Diversification means spreading investments across different assets, sectors, or regions to reduce exposure to a single source of risk.","Diversification means spreading investments across different assets, sectors, or regions to reduce exposure to a single source of risk. This rule applies equally to all users, countries, and conditions.","Diversification means spreading investments across different assets, sectors, or regions to reduce exposure to a single source of risk.",29,1,overgeneralization,medium,yes,2026-03-26
SMP-00066,Finance,What is inflation and why does it matter?,definition,hard,"Inflation is the general rise in prices over time. It reduces purchasing power and affects savings, wages, and investment returns.","Inflation is the general rise in prices over time. It reduces purchasing power and affects savings, wages, and investment returns.","Inflation is the general rise in prices over time. It reduces purchasing power and affects savings, wages, and investment returns.",20,0,none,none,no,2026-04-09
SMP-00067,Education,Explain briefly: Why is feedback important in education?,comparison,easy,"Feedback helps learners understand strengths, correct mistakes, and improve future performance.","Feedback helps learners understand strengths, correct mistakes, and improve future performance.","Feedback helps learners understand strengths, correct mistakes, and improve future performance.",11,0,none,none,no,2026-04-06
SMP-00068,Legal,"In simple terms, What is intellectual property?",risk explanation,medium,"Intellectual property refers to creations of the mind such as inventions, designs, trademarks, written works, and software that may receive legal protection.","Intellectual property refers to creations of the mind such as inventions, designs, trademarks, written works, and software that may receive legal protection.","Intellectual property refers to creations of the mind such as inventions, designs, trademarks, written works, and software that may receive legal protection.",22,0,none,none,no,2026-03-21
SMP-00069,Technology,"In simple terms, What is an API?",reasoning,medium,An API is a set of rules that allows software systems to communicate and exchange data or functionality.,"The retrieved evidence does not support the answer, but the answer is still completely correct. An API is a set of rules that allows software systems to communicate and exchange data or functionality.",An API is a set of rules that allows software systems to communicate and exchange data or functionality.,33,1,contradiction,medium,yes,2026-02-07
SMP-00070,Healthcare,"For a QA system, answer this: What are common warning signs of dehydration?",comparison,hard,"Common signs include thirst, dry mouth, reduced urine output, dark urine, dizziness, fatigue, and in severe cases confusion.","Common signs include thirst, dry mouth, reduced urine output, dark urine, dizziness, fatigue, and in severe cases confusion.","Common signs include thirst, dry mouth, reduced urine output, dark urine, dizziness, fatigue, and in severe cases confusion.",18,0,none,none,no,2026-02-21
SMP-00071,Legal,"In simple terms, What is the purpose of a contract?",comparison,medium,"A contract records an agreement between parties, outlining duties, rights, payment terms, timelines, and remedies if obligations are not met.","A contract records an agreement between parties, outlining duties, rights, payment terms, timelines, and remedies if obligations are not met.","A contract records an agreement between parties, outlining duties, rights, payment terms, timelines, and remedies if obligations are not met.",20,0,none,none,no,2026-03-03
SMP-00072,Technology,Explain briefly: What is data preprocessing?,comparison,easy,"Data preprocessing prepares raw data through cleaning, formatting, normalization, encoding, and feature creation before analysis or modeling.","Data preprocessing prepares raw data through cleaning, formatting, normalization, encoding, and feature creation before analysis or modeling.","Data preprocessing prepares raw data through cleaning, formatting, normalization, encoding, and feature creation before analysis or modeling.",17,0,none,none,no,2026-01-30
SMP-00073,Legal,What is a privacy policy?,risk explanation,medium,"A privacy policy explains what personal data is collected, how it is used, stored, shared, and what rights users may have.","A privacy policy explains what personal data is collected, how it is used, stored, shared, and what rights users may have.","A privacy policy explains what personal data is collected, how it is used, stored, shared, and what rights users may have.",21,0,none,none,no,2026-02-19
SMP-00074,Healthcare,What is the recommended first-line lifestyle advice for mild hypertension?,reasoning,medium,"For mild hypertension, lifestyle advice commonly includes reducing sodium intake, regular physical activity, weight management, limiting alcohol, stopping smoking, and following a balanced diet such as DASH. Clinical decisions should be individualized.","For mild hypertension, lifestyle advice commonly includes reducing sodium intake, regular physical activity, weight management, limiting alcohol, stopping smoking, and following a balanced diet such as DASH. Clinical decisions should be individualized.","For mild hypertension, lifestyle advice commonly includes reducing sodium intake, regular physical activity, weight management, limiting alcohol, stopping smoking, and following a balanced diet such as DASH. Clinical decisions should be individualized.",32,0,none,none,no,2026-03-16
