doc_id,doc_title,doc_domain,doc_text,source_name,publication_year,license_type,quality_score,word_count,chunk_count
DOC-0011,Legal Reference Note 011: What does confidentiality mean in a business agreement,Legal,"This note provides neutral background information for question answering. It emphasizes evidence-grounded responses, scope limits, and careful validation. Key concept: Confidentiality means parties must protect sensitive information and avoid disclosing it without permission or legal requirement. The reference material provides neutral background information for question answering. It emphasizes evidence-grounded responses, scope limits, and careful validation. Key concept: Confidentiality means parties must protect sensitive information and avoid disclosing it without permission or legal requirement.",Original Synthetic Knowledge Base v1.2,2023,Synthetic / CC0-style educational use,0.743,73,4
DOC-0012,Environment Reference Note 012: What is renewable energy,Environment,"This note provides neutral background information for question answering. It emphasizes evidence-grounded responses, scope limits, and careful validation. Key concept: Renewable energy comes from naturally replenished sources such as solar, wind, hydro, geothermal, and biomass. The reference material provides neutral background information for question answering. It emphasizes evidence-grounded responses, scope limits, and careful validation. Key concept: Renewable energy comes from naturally replenished sources such as solar, wind, hydro, geothermal, and biomass.",Original Synthetic Knowledge Base v1.1,2025,Synthetic / CC0-style educational use,0.899,71,3
DOC-0013,Education Reference Note 013: Why is feedback important in education,Education,"This note provides neutral background information for question answering. It emphasizes evidence-grounded responses, scope limits, and careful validation. Key concept: Feedback helps learners understand strengths, correct mistakes, and improve future performance. The reference material provides neutral background information for question answering. It emphasizes evidence-grounded responses, scope limits, and careful validation. Key concept: Feedback helps learners understand strengths, correct mistakes, and improve future performance.",Original Synthetic Knowledge Base v1.2,2026,Synthetic / CC0-style educational use,0.886,63,3
DOC-0014,Environment Reference Note 014: What is climate adaptation,Environment,"This note provides neutral background information for question answering. It emphasizes evidence-grounded responses, scope limits, and careful validation. Key concept: Climate adaptation means adjusting systems, infrastructure, and behavior to reduce harm from current or expected climate impacts. The reference material provides neutral background information for question answering. It emphasizes evidence-grounded responses, scope limits, and careful validation. Key concept: Climate adaptation means adjusting systems, infrastructure, and behavior to reduce harm from current or expected climate impacts.",Original Synthetic Knowledge Base v1.0,2022,Synthetic / CC0-style educational use,0.927,75,4
DOC-0015,Education Reference Note 015: What is a learning objective,Education,"This note provides neutral background information for question answering. It emphasizes evidence-grounded responses, scope limits, and careful validation. Key concept: A learning objective states what a learner should know or be able to do after completing a lesson or activity. The reference material provides neutral background information for question answering. It emphasizes evidence-grounded responses, scope limits, and careful validation. Key concept: A learning objective states what a learner should know or be able to do after completing a lesson or activity.",Original Synthetic Knowledge Base v1.0,2022,Synthetic / CC0-style educational use,0.954,81,6
DOC-0016,Environment Reference Note 016: What is climate adaptation,Environment,"This note provides neutral background information for question answering. It emphasizes evidence-grounded responses, scope limits, and careful validation. Key concept: Climate adaptation means adjusting systems, infrastructure, and behavior to reduce harm from current or expected climate impacts. The reference material provides neutral background information for question answering. It emphasizes evidence-grounded responses, scope limits, and careful validation. Key concept: Climate adaptation means adjusting systems, infrastructure, and behavior to reduce harm from current or expected climate impacts.",Original Synthetic Knowledge Base v1.1,2026,Synthetic / CC0-style educational use,0.83,75,7
DOC-0017,Education Reference Note 017: How does active recall improve learning,Education,"This note provides neutral background information for question answering. It emphasizes evidence-grounded responses, scope limits, and careful validation. Key concept: Active recall improves learning by making students retrieve information from memory, strengthening retention and revealing knowledge gaps. The reference material provides neutral background information for question answering. It emphasizes evidence-grounded responses, scope limits, and careful validation. Key concept: Active recall improves learning by making students retrieve information from memory, strengthening retention and revealing knowledge gaps.",Original Synthetic Knowledge Base v1.2,2022,Synthetic / CC0-style educational use,0.754,75,6
DOC-0018,Technology Reference Note 018: Why is model evaluation important,Technology,"This note provides neutral background information for question answering. It emphasizes evidence-grounded responses, scope limits, and careful validation. Key concept: Model evaluation measures performance, reliability, bias, errors, and suitability before deployment. The reference material provides neutral background information for question answering. It emphasizes evidence-grounded responses, scope limits, and careful validation. Key concept: Model evaluation measures performance, reliability, bias, errors, and suitability before deployment.",Original Synthetic Knowledge Base v1.3,2025,Synthetic / CC0-style educational use,0.8,63,3
DOC-0019,Finance Reference Note 019: Why is an emergency fund useful,Finance,"This note provides neutral background information for question answering. It emphasizes evidence-grounded responses, scope limits, and careful validation. Key concept: An emergency fund provides readily available savings for unexpected expenses and can reduce reliance on debt during financial stress. The reference material provides neutral background information for question answering. It emphasizes evidence-grounded responses, scope limits, and careful validation. Key concept: An emergency fund provides readily available savings for unexpected expenses and can reduce reliance on debt during financial stress.",Original Synthetic Knowledge Base v1.3,2021,Synthetic / CC0-style educational use,0.907,79,2
DOC-0020,Finance Reference Note 020: How does compound interest work,Finance,"This note provides neutral background information for question answering. It emphasizes evidence-grounded responses, scope limits, and careful validation. Key concept: Compound interest adds interest to the principal and previously earned interest, so money can grow faster over time. The reference material provides neutral background information for question answering. It emphasizes evidence-grounded responses, scope limits, and careful validation. Key concept: Compound interest adds interest to the principal and previously earned interest, so money can grow faster over time.",Original Synthetic Knowledge Base v1.3,2025,Synthetic / CC0-style educational use,0.699,77,5
DOC-0021,Technology Reference Note 021: What is an API,Technology,"This note provides neutral background information for question answering. It emphasizes evidence-grounded responses, scope limits, and careful validation. Key concept: An API is a set of rules that allows software systems to communicate and exchange data or functionality. The reference material provides neutral background information for question answering. It emphasizes evidence-grounded responses, scope limits, and careful validation. Key concept: An API is a set of rules that allows software systems to communicate and exchange data or functionality.",Original Synthetic Knowledge Base v1.2,2025,Synthetic / CC0-style educational use,0.938,77,2
DOC-0022,Environment Reference Note 022: What is renewable energy,Environment,"This note provides neutral background information for question answering. It emphasizes evidence-grounded responses, scope limits, and careful validation. Key concept: Renewable energy comes from naturally replenished sources such as solar, wind, hydro, geothermal, and biomass. The reference material provides neutral background information for question answering. It emphasizes evidence-grounded responses, scope limits, and careful validation. Key concept: Renewable energy comes from naturally replenished sources such as solar, wind, hydro, geothermal, and biomass.",Original Synthetic Knowledge Base v1.2,2026,Synthetic / CC0-style educational use,0.782,71,4
DOC-0023,Education Reference Note 023: How does active recall improve learning,Education,"This note provides neutral background information for question answering. It emphasizes evidence-grounded responses, scope limits, and careful validation. Key concept: Active recall improves learning by making students retrieve information from memory, strengthening retention and revealing knowledge gaps. The reference material provides neutral background information for question answering. It emphasizes evidence-grounded responses, scope limits, and careful validation. Key concept: Active recall improves learning by making students retrieve information from memory, strengthening retention and revealing knowledge gaps.",Original Synthetic Knowledge Base v1.3,2021,Synthetic / CC0-style educational use,0.966,75,7
DOC-0024,Legal Reference Note 024: What is a privacy policy,Legal,"This note provides neutral background information for question answering. It emphasizes evidence-grounded responses, scope limits, and careful validation. Key concept: A privacy policy explains what personal data is collected, how it is used, stored, shared, and what rights users may have. The reference material provides neutral background information for question answering. It emphasizes evidence-grounded responses, scope limits, and careful validation. Key concept: A privacy policy explains what personal data is collected, how it is used, stored, shared, and what rights users may have.",Original Synthetic Knowledge Base v1.1,2025,Synthetic / CC0-style educational use,0.954,83,7
DOC-0025,Legal Reference Note 025: What is a privacy policy,Legal,"This note provides neutral background information for question answering. It emphasizes evidence-grounded responses, scope limits, and careful validation. Key concept: A privacy policy explains what personal data is collected, how it is used, stored, shared, and what rights users may have. The reference material provides neutral background information for question answering. It emphasizes evidence-grounded responses, scope limits, and careful validation. Key concept: A privacy policy explains what personal data is collected, how it is used, stored, shared, and what rights users may have.",Original Synthetic Knowledge Base v1.1,2022,Synthetic / CC0-style educational use,0.792,83,3
DOC-0026,Technology Reference Note 026: What is data preprocessing,Technology,"This note provides neutral background information for question answering. It emphasizes evidence-grounded responses, scope limits, and careful validation. Key concept: Data preprocessing prepares raw data through cleaning, formatting, normalization, encoding, and feature creation before analysis or modeling. The reference material provides neutral background information for question answering. It emphasizes evidence-grounded responses, scope limits, and careful validation. Key concept: Data preprocessing prepares raw data through cleaning, formatting, normalization, encoding, and feature creation before analysis or modeling.",Original Synthetic Knowledge Base v1.0,2025,Synthetic / CC0-style educational use,0.777,75,2
DOC-0027,Healthcare Reference Note 027: What is the role of vaccination in preventing infectio,Healthcare,"This note provides neutral background information for question answering. It emphasizes evidence-grounded responses, scope limits, and careful validation. Key concept: Vaccination trains the immune system to recognize pathogens, reducing infection risk, severity, transmission, and complications. The reference material provides neutral background information for question answering. It emphasizes evidence-grounded responses, scope limits, and careful validation. Key concept: Vaccination trains the immune system to recognize pathogens, reducing infection risk, severity, transmission, and complications.",Original Synthetic Knowledge Base v1.2,2022,Synthetic / CC0-style educational use,0.697,71,6
DOC-0028,Healthcare Reference Note 028: What is the recommended first-line lifestyle advice fo,Healthcare,"This note provides neutral background information for question answering. It emphasizes evidence-grounded responses, scope limits, and careful validation. Key concept: For mild hypertension, lifestyle advice commonly includes reducing sodium intake, regular physical activity, weight management, limiting alcohol, stopping smoking, and following a balanced diet such as DASH. Clinical decisions should be individualized. The reference material provides neutral background information for question answering. It emphasizes evidence-grounded responses, scope limits, and careful validation. Key concept: For mild hypertension, lifestyle advice commonly includes reducing sodium intake, regular physical activity, weight management, limiting alcohol, stopping smoking, and following a balanced diet such as DASH. Clinical decisions should be individualized.",Original Synthetic Knowledge Base v1.3,2021,Synthetic / CC0-style educational use,0.973,105,6
DOC-0029,Finance Reference Note 029: How does compound interest work,Finance,"This note provides neutral background information for question answering. It emphasizes evidence-grounded responses, scope limits, and careful validation. Key concept: Compound interest adds interest to the principal and previously earned interest, so money can grow faster over time. The reference material provides neutral background information for question answering. It emphasizes evidence-grounded responses, scope limits, and careful validation. Key concept: Compound interest adds interest to the principal and previously earned interest, so money can grow faster over time.",Original Synthetic Knowledge Base v1.3,2025,Synthetic / CC0-style educational use,0.73,77,6
DOC-0030,Technology Reference Note 030: What is an API,Technology,"This note provides neutral background information for question answering. It emphasizes evidence-grounded responses, scope limits, and careful validation. Key concept: An API is a set of rules that allows software systems to communicate and exchange data or functionality. The reference material provides neutral background information for question answering. It emphasizes evidence-grounded responses, scope limits, and careful validation. Key concept: An API is a set of rules that allows software systems to communicate and exchange data or functionality.",Original Synthetic Knowledge Base v1.1,2025,Synthetic / CC0-style educational use,0.907,77,7
DOC-0031,Finance Reference Note 031: What is inflation and why does it matter,Finance,"This note provides neutral background information for question answering. It emphasizes evidence-grounded responses, scope limits, and careful validation. Key concept: Inflation is the general rise in prices over time. It reduces purchasing power and affects savings, wages, and investment returns. The reference material provides neutral background information for question answering. It emphasizes evidence-grounded responses, scope limits, and careful validation. Key concept: Inflation is the general rise in prices over time. It reduces purchasing power and affects savings, wages, and investment returns.",Original Synthetic Knowledge Base v1.3,2026,Synthetic / CC0-style educational use,0.875,81,5
DOC-0032,Technology Reference Note 032: What is an API,Technology,"This note provides neutral background information for question answering. It emphasizes evidence-grounded responses, scope limits, and careful validation. Key concept: An API is a set of rules that allows software systems to communicate and exchange data or functionality. The reference material provides neutral background information for question answering. It emphasizes evidence-grounded responses, scope limits, and careful validation. Key concept: An API is a set of rules that allows software systems to communicate and exchange data or functionality.",Original Synthetic Knowledge Base v1.0,2022,Synthetic / CC0-style educational use,0.747,77,4
DOC-0033,Healthcare Reference Note 033: What are common warning signs of dehydration,Healthcare,"This note provides neutral background information for question answering. It emphasizes evidence-grounded responses, scope limits, and careful validation. Key concept: Common signs include thirst, dry mouth, reduced urine output, dark urine, dizziness, fatigue, and in severe cases confusion. The reference material provides neutral background information for question answering. It emphasizes evidence-grounded responses, scope limits, and careful validation. Key concept: Common signs include thirst, dry mouth, reduced urine output, dark urine, dizziness, fatigue, and in severe cases confusion.",Original Synthetic Knowledge Base v1.1,2025,Synthetic / CC0-style educational use,0.746,77,2
DOC-0034,Environment Reference Note 034: What is renewable energy,Environment,"This note provides neutral background information for question answering. It emphasizes evidence-grounded responses, scope limits, and careful validation. Key concept: Renewable energy comes from naturally replenished sources such as solar, wind, hydro, geothermal, and biomass. The reference material provides neutral background information for question answering. It emphasizes evidence-grounded responses, scope limits, and careful validation. Key concept: Renewable energy comes from naturally replenished sources such as solar, wind, hydro, geothermal, and biomass.",Original Synthetic Knowledge Base v1.1,2021,Synthetic / CC0-style educational use,0.952,71,4
DOC-0035,Healthcare Reference Note 035: What are common warning signs of dehydration,Healthcare,"This note provides neutral background information for question answering. It emphasizes evidence-grounded responses, scope limits, and careful validation. Key concept: Common signs include thirst, dry mouth, reduced urine output, dark urine, dizziness, fatigue, and in severe cases confusion. The reference material provides neutral background information for question answering. It emphasizes evidence-grounded responses, scope limits, and careful validation. Key concept: Common signs include thirst, dry mouth, reduced urine output, dark urine, dizziness, fatigue, and in severe cases confusion.",Original Synthetic Knowledge Base v1.1,2023,Synthetic / CC0-style educational use,0.881,77,3
DOC-0036,Technology Reference Note 036: What is a vector database used for,Technology,"This note provides neutral background information for question answering. It emphasizes evidence-grounded responses, scope limits, and careful validation. Key concept: A vector database stores embeddings and supports similarity search, helping systems retrieve semantically related text, images, or other data. The reference material provides neutral background information for question answering. It emphasizes evidence-grounded responses, scope limits, and careful validation. Key concept: A vector database stores embeddings and supports similarity search, helping systems retrieve semantically related text, images, or other data.",Original Synthetic Knowledge Base v1.3,2022,Synthetic / CC0-style educational use,0.915,79,5
DOC-0037,Finance Reference Note 037: What is diversification in investment,Finance,"This note provides neutral background information for question answering. It emphasizes evidence-grounded responses, scope limits, and careful validation. Key concept: Diversification means spreading investments across different assets, sectors, or regions to reduce exposure to a single source of risk. The reference material provides neutral background information for question answering. It emphasizes evidence-grounded responses, scope limits, and careful validation. Key concept: Diversification means spreading investments across different assets, sectors, or regions to reduce exposure to a single source of risk.",Original Synthetic Knowledge Base v1.0,2026,Synthetic / CC0-style educational use,0.809,79,5
DOC-0038,Education Reference Note 038: Why is feedback important in education,Education,"This note provides neutral background information for question answering. It emphasizes evidence-grounded responses, scope limits, and careful validation. Key concept: Feedback helps learners understand strengths, correct mistakes, and improve future performance. The reference material provides neutral background information for question answering. It emphasizes evidence-grounded responses, scope limits, and careful validation. Key concept: Feedback helps learners understand strengths, correct mistakes, and improve future performance.",Original Synthetic Knowledge Base v1.0,2026,Synthetic / CC0-style educational use,0.876,63,7
DOC-0039,Healthcare Reference Note 039: What is the recommended first-line lifestyle advice fo,Healthcare,"This note provides neutral background information for question answering. It emphasizes evidence-grounded responses, scope limits, and careful validation. Key concept: For mild hypertension, lifestyle advice commonly includes reducing sodium intake, regular physical activity, weight management, limiting alcohol, stopping smoking, and following a balanced diet such as DASH. Clinical decisions should be individualized. The reference material provides neutral background information for question answering. It emphasizes evidence-grounded responses, scope limits, and careful validation. Key concept: For mild hypertension, lifestyle advice commonly includes reducing sodium intake, regular physical activity, weight management, limiting alcohol, stopping smoking, and following a balanced diet such as DASH. Clinical decisions should be individualized.",Original Synthetic Knowledge Base v1.3,2026,Synthetic / CC0-style educational use,0.782,105,2
DOC-0040,Finance Reference Note 040: How does compound interest work,Finance,"This note provides neutral background information for question answering. It emphasizes evidence-grounded responses, scope limits, and careful validation. Key concept: Compound interest adds interest to the principal and previously earned interest, so money can grow faster over time. The reference material provides neutral background information for question answering. It emphasizes evidence-grounded responses, scope limits, and careful validation. Key concept: Compound interest adds interest to the principal and previously earned interest, so money can grow faster over time.",Original Synthetic Knowledge Base v1.1,2025,Synthetic / CC0-style educational use,0.815,77,5
DOC-0041,Finance Reference Note 041: What is inflation and why does it matter,Finance,"This note provides neutral background information for question answering. It emphasizes evidence-grounded responses, scope limits, and careful validation. Key concept: Inflation is the general rise in prices over time. It reduces purchasing power and affects savings, wages, and investment returns. The reference material provides neutral background information for question answering. It emphasizes evidence-grounded responses, scope limits, and careful validation. Key concept: Inflation is the general rise in prices over time. It reduces purchasing power and affects savings, wages, and investment returns.",Original Synthetic Knowledge Base v1.3,2022,Synthetic / CC0-style educational use,0.942,81,2
DOC-0042,Education Reference Note 042: What is blended learning,Education,"This note provides neutral background information for question answering. It emphasizes evidence-grounded responses, scope limits, and careful validation. Key concept: Blended learning combines face-to-face instruction with online learning activities or digital resources. The reference material provides neutral background information for question answering. It emphasizes evidence-grounded responses, scope limits, and careful validation. Key concept: Blended learning combines face-to-face instruction with online learning activities or digital resources.",Original Synthetic Knowledge Base v1.0,2021,Synthetic / CC0-style educational use,0.876,65,6
DOC-0043,Healthcare Reference Note 043: What is the recommended first-line lifestyle advice fo,Healthcare,"This note provides neutral background information for question answering. It emphasizes evidence-grounded responses, scope limits, and careful validation. Key concept: For mild hypertension, lifestyle advice commonly includes reducing sodium intake, regular physical activity, weight management, limiting alcohol, stopping smoking, and following a balanced diet such as DASH. Clinical decisions should be individualized. The reference material provides neutral background information for question answering. It emphasizes evidence-grounded responses, scope limits, and careful validation. Key concept: For mild hypertension, lifestyle advice commonly includes reducing sodium intake, regular physical activity, weight management, limiting alcohol, stopping smoking, and following a balanced diet such as DASH. Clinical decisions should be individualized.",Original Synthetic Knowledge Base v1.1,2022,Synthetic / CC0-style educational use,0.802,105,5
DOC-0044,Finance Reference Note 044: What does credit risk mean,Finance,"This note provides neutral background information for question answering. It emphasizes evidence-grounded responses, scope limits, and careful validation. Key concept: Credit risk is the possibility that a borrower or counterparty may fail to repay debt or meet financial obligations. The reference material provides neutral background information for question answering. It emphasizes evidence-grounded responses, scope limits, and careful validation. Key concept: Credit risk is the possibility that a borrower or counterparty may fail to repay debt or meet financial obligations.",Original Synthetic Knowledge Base v1.0,2022,Synthetic / CC0-style educational use,0.794,79,5
DOC-0045,Legal Reference Note 045: Why are terms and conditions important,Legal,"This note provides neutral background information for question answering. It emphasizes evidence-grounded responses, scope limits, and careful validation. Key concept: Terms and conditions define rules for using a service, responsibilities of users and providers, limitations, payments, and dispute handling. The reference material provides neutral background information for question answering. It emphasizes evidence-grounded responses, scope limits, and careful validation. Key concept: Terms and conditions define rules for using a service, responsibilities of users and providers, limitations, payments, and dispute handling.",Original Synthetic Knowledge Base v1.2,2024,Synthetic / CC0-style educational use,0.889,79,7
DOC-0046,Technology Reference Note 046: What is an API,Technology,"This note provides neutral background information for question answering. It emphasizes evidence-grounded responses, scope limits, and careful validation. Key concept: An API is a set of rules that allows software systems to communicate and exchange data or functionality. The reference material provides neutral background information for question answering. It emphasizes evidence-grounded responses, scope limits, and careful validation. Key concept: An API is a set of rules that allows software systems to communicate and exchange data or functionality.",Original Synthetic Knowledge Base v1.1,2022,Synthetic / CC0-style educational use,0.769,77,2
DOC-0047,Technology Reference Note 047: What is data preprocessing,Technology,"This note provides neutral background information for question answering. It emphasizes evidence-grounded responses, scope limits, and careful validation. Key concept: Data preprocessing prepares raw data through cleaning, formatting, normalization, encoding, and feature creation before analysis or modeling. The reference material provides neutral background information for question answering. It emphasizes evidence-grounded responses, scope limits, and careful validation. Key concept: Data preprocessing prepares raw data through cleaning, formatting, normalization, encoding, and feature creation before analysis or modeling.",Original Synthetic Knowledge Base v1.0,2026,Synthetic / CC0-style educational use,0.774,75,2
DOC-0048,Technology Reference Note 048: What is an API,Technology,"This note provides neutral background information for question answering. It emphasizes evidence-grounded responses, scope limits, and careful validation. Key concept: An API is a set of rules that allows software systems to communicate and exchange data or functionality. The reference material provides neutral background information for question answering. It emphasizes evidence-grounded responses, scope limits, and careful validation. Key concept: An API is a set of rules that allows software systems to communicate and exchange data or functionality.",Original Synthetic Knowledge Base v1.1,2021,Synthetic / CC0-style educational use,0.968,77,2
DOC-0049,Finance Reference Note 049: What is diversification in investment,Finance,"This note provides neutral background information for question answering. It emphasizes evidence-grounded responses, scope limits, and careful validation. Key concept: Diversification means spreading investments across different assets, sectors, or regions to reduce exposure to a single source of risk. The reference material provides neutral background information for question answering. It emphasizes evidence-grounded responses, scope limits, and careful validation. Key concept: Diversification means spreading investments across different assets, sectors, or regions to reduce exposure to a single source of risk.",Original Synthetic Knowledge Base v1.0,2026,Synthetic / CC0-style educational use,0.939,79,5
DOC-0050,Healthcare Reference Note 050: What are common warning signs of dehydration,Healthcare,"This note provides neutral background information for question answering. It emphasizes evidence-grounded responses, scope limits, and careful validation. Key concept: Common signs include thirst, dry mouth, reduced urine output, dark urine, dizziness, fatigue, and in severe cases confusion. The reference material provides neutral background information for question answering. It emphasizes evidence-grounded responses, scope limits, and careful validation. Key concept: Common signs include thirst, dry mouth, reduced urine output, dark urine, dizziness, fatigue, and in severe cases confusion.",Original Synthetic Knowledge Base v1.1,2025,Synthetic / CC0-style educational use,0.858,77,6
DOC-0051,Healthcare Reference Note 051: Why should antibiotics not be used for viral infection,Healthcare,"This note provides neutral background information for question answering. It emphasizes evidence-grounded responses, scope limits, and careful validation. Key concept: Antibiotics target bacteria, not viruses. Unnecessary use can cause side effects and contribute to antimicrobial resistance. The reference material provides neutral background information for question answering. It emphasizes evidence-grounded responses, scope limits, and careful validation. Key concept: Antibiotics target bacteria, not viruses. Unnecessary use can cause side effects and contribute to antimicrobial resistance.",Original Synthetic Knowledge Base v1.2,2023,Synthetic / CC0-style educational use,0.741,73,7
DOC-0052,Legal Reference Note 052: What does confidentiality mean in a business agreement,Legal,"This note provides neutral background information for question answering. It emphasizes evidence-grounded responses, scope limits, and careful validation. Key concept: Confidentiality means parties must protect sensitive information and avoid disclosing it without permission or legal requirement. The reference material provides neutral background information for question answering. It emphasizes evidence-grounded responses, scope limits, and careful validation. Key concept: Confidentiality means parties must protect sensitive information and avoid disclosing it without permission or legal requirement.",Original Synthetic Knowledge Base v1.2,2024,Synthetic / CC0-style educational use,0.719,73,7
DOC-0053,Legal Reference Note 053: Why are terms and conditions important,Legal,"This note provides neutral background information for question answering. It emphasizes evidence-grounded responses, scope limits, and careful validation. Key concept: Terms and conditions define rules for using a service, responsibilities of users and providers, limitations, payments, and dispute handling. The reference material provides neutral background information for question answering. It emphasizes evidence-grounded responses, scope limits, and careful validation. Key concept: Terms and conditions define rules for using a service, responsibilities of users and providers, limitations, payments, and dispute handling.",Original Synthetic Knowledge Base v1.2,2021,Synthetic / CC0-style educational use,0.683,79,6
DOC-0054,Technology Reference Note 054: What is retrieval-augmented generation,Technology,"This note provides neutral background information for question answering. It emphasizes evidence-grounded responses, scope limits, and careful validation. Key concept: Retrieval-augmented generation combines information retrieval with text generation so a model can answer using external context instead of relying only on internal parameters. The reference material provides neutral background information for question answering. It emphasizes evidence-grounded responses, scope limits, and careful validation. Key concept: Retrieval-augmented generation combines information retrieval with text generation so a model can answer using external context instead of relying only on internal parameters.",Original Synthetic Knowledge Base v1.0,2025,Synthetic / CC0-style educational use,0.744,87,4
