evidence_id,sample_id,retrieved_doc_id,retrieved_text_chunk,chunk_rank,similarity_score,source_type,source_reliability,evidence_relevance,supports_answer,contradicts_answer
EVD-00009-1,SMP-00009,DOC-0027,"Healthcare Reference Note 027: What is the role of vaccination in preventing infectio. Evidence summary: For mild hypertension, lifestyle advice commonly includes reducing sodium intake, regular physical activity, weight management, limiting alcohol, stopping smoking, and following a balanced diet such as DASH. Clinical decisions should be individualized. Validation note: answer claims should remain limited to what this chunk supports.",1,0.614,curated knowledge card,medium,partially relevant,no,yes
EVD-00009-2,SMP-00009,DOC-0106,"Healthcare Reference Note 106: Why should antibiotics not be used for viral infection. Evidence summary: For mild hypertension, lifestyle advice commonly includes reducing sodium intake, regular physical activity, weight management, limiting alcohol, stopping smoking, and following a balanced diet such as DASH. Clinical decisions should be individualized. Validation note: answer claims should remain limited to what this chunk supports.",2,0.749,public-domain style explainer,high,irrelevant,no,no
EVD-00009-3,SMP-00009,DOC-0061,"Healthcare Reference Note 061: Why should antibiotics not be used for viral infection. Evidence summary: For mild hypertension, lifestyle advice commonly includes reducing sodium intake, regular physical activity, weight management, limiting alcohol, stopping smoking, and following a balanced diet such as DASH. Clinical decisions should be individualized. Validation note: answer claims should remain limited to what this chunk supports.",3,0.825,domain reference summary,low,relevant,yes,no
EVD-00010-1,SMP-00010,DOC-0026,Technology Reference Note 026: What is data preprocessing. Evidence summary: Retrieval-augmented generation combines information retrieval with text generation so a model can answer using external context instead of relying only on internal parameters. Validation note: answer claims should remain limited to what this chunk supports.,1,0.838,domain reference summary,medium,relevant,yes,no
EVD-00010-2,SMP-00010,DOC-0054,Technology Reference Note 054: What is retrieval-augmented generation. Evidence summary: Retrieval-augmented generation combines information retrieval with text generation so a model can answer using external context instead of relying only on internal parameters. Validation note: answer claims should remain limited to what this chunk supports.,2,0.662,public-domain style explainer,low,relevant,yes,no
EVD-00010-3,SMP-00010,DOC-0093,Technology Reference Note 093: Why is model evaluation important. Evidence summary: Retrieval-augmented generation combines information retrieval with text generation so a model can answer using external context instead of relying only on internal parameters. Validation note: answer claims should remain limited to what this chunk supports.,3,0.375,domain reference summary,high,relevant,yes,no
EVD-00011-1,SMP-00011,DOC-0023,"Education Reference Note 023: How does active recall improve learning. Evidence summary: Formative assessment is ongoing evaluation during learning, used to provide feedback and improve understanding before final grading. Validation note: answer claims should remain limited to what this chunk supports.",1,0.521,domain reference summary,low,relevant,yes,no
EVD-00011-2,SMP-00011,DOC-0115,"Education Reference Note 115: How does active recall improve learning. Evidence summary: Formative assessment is ongoing evaluation during learning, used to provide feedback and improve understanding before final grading. Validation note: answer claims should remain limited to what this chunk supports.",2,0.69,curated knowledge card,high,relevant,yes,no
EVD-00011-3,SMP-00011,DOC-0072,"Education Reference Note 072: What is a learning objective. Evidence summary: Formative assessment is ongoing evaluation during learning, used to provide feedback and improve understanding before final grading. Validation note: answer claims should remain limited to what this chunk supports.",3,0.777,synthetic policy brief,high,relevant,yes,no
EVD-00012-1,SMP-00012,DOC-0007,"Technology Reference Note 007: Why is model evaluation important. Evidence summary: Data preprocessing prepares raw data through cleaning, formatting, normalization, encoding, and feature creation before analysis or modeling. Validation note: answer claims should remain limited to what this chunk supports.",1,0.698,open educational note,medium,relevant,yes,no
EVD-00012-2,SMP-00012,DOC-0048,"Technology Reference Note 048: What is an API. Evidence summary: Data preprocessing prepares raw data through cleaning, formatting, normalization, encoding, and feature creation before analysis or modeling. Validation note: answer claims should remain limited to what this chunk supports.",2,0.495,public-domain style explainer,low,partially relevant,yes,no
EVD-00012-3,SMP-00012,DOC-0018,"Technology Reference Note 018: Why is model evaluation important. Evidence summary: Data preprocessing prepares raw data through cleaning, formatting, normalization, encoding, and feature creation before analysis or modeling. Validation note: answer claims should remain limited to what this chunk supports.",3,0.572,curated knowledge card,medium,relevant,yes,no
EVD-00013-1,SMP-00013,DOC-0079,"Legal Reference Note 079: What is a privacy policy. Evidence summary: Intellectual property refers to creations of the mind such as inventions, designs, trademarks, written works, and software that may receive legal protection. Validation note: answer claims should remain limited to what this chunk supports.",1,0.755,domain reference summary,medium,partially relevant,no,no
EVD-00013-2,SMP-00013,DOC-0074,"Legal Reference Note 074: What is the purpose of a contract. Evidence summary: Intellectual property refers to creations of the mind such as inventions, designs, trademarks, written works, and software that may receive legal protection. Validation note: answer claims should remain limited to what this chunk supports.",2,0.805,public-domain style explainer,medium,relevant,yes,no
EVD-00013-3,SMP-00013,DOC-0073,"Legal Reference Note 073: What is a privacy policy. Evidence summary: Intellectual property refers to creations of the mind such as inventions, designs, trademarks, written works, and software that may receive legal protection. Validation note: answer claims should remain limited to what this chunk supports.",3,0.477,public-domain style explainer,medium,relevant,yes,no
EVD-00014-1,SMP-00014,DOC-0049,"Finance Reference Note 049: What is diversification in investment. Evidence summary: Compound interest adds interest to the principal and previously earned interest, so money can grow faster over time. Validation note: answer claims should remain limited to what this chunk supports.",1,0.692,curated knowledge card,high,relevant,yes,no
EVD-00014-2,SMP-00014,DOC-0113,"Finance Reference Note 113: Why is an emergency fund useful. Evidence summary: Compound interest adds interest to the principal and previously earned interest, so money can grow faster over time. Validation note: answer claims should remain limited to what this chunk supports.",2,0.569,domain reference summary,low,relevant,yes,no
EVD-00014-3,SMP-00014,DOC-0055,"Finance Reference Note 055: What is inflation and why does it matter. Evidence summary: Compound interest adds interest to the principal and previously earned interest, so money can grow faster over time. Validation note: answer claims should remain limited to what this chunk supports.",3,0.829,synthetic policy brief,high,partially relevant,yes,no
EVD-00015-1,SMP-00015,DOC-0016,"Environment Reference Note 016: What is climate adaptation. Evidence summary: Deforestation can reduce biodiversity, disrupt habitats, increase soil erosion, alter water cycles, and contribute to carbon emissions. Validation note: answer claims should remain limited to what this chunk supports.",1,0.601,public-domain style explainer,high,relevant,yes,yes
EVD-00015-2,SMP-00015,DOC-0081,"Environment Reference Note 081: What is climate adaptation. Evidence summary: Deforestation can reduce biodiversity, disrupt habitats, increase soil erosion, alter water cycles, and contribute to carbon emissions. Validation note: answer claims should remain limited to what this chunk supports.",2,0.569,domain reference summary,medium,relevant,yes,no
EVD-00015-3,SMP-00015,DOC-0014,"Environment Reference Note 014: What is climate adaptation. Evidence summary: Deforestation can reduce biodiversity, disrupt habitats, increase soil erosion, alter water cycles, and contribute to carbon emissions. Validation note: answer claims should remain limited to what this chunk supports.",3,0.75,public-domain style explainer,low,relevant,yes,no
EVD-00016-1,SMP-00016,DOC-0087,"Environment Reference Note 087: What is climate adaptation. Evidence summary: Air pollution is the presence of harmful substances in the air that can affect health, climate, visibility, and ecosystems. Validation note: answer claims should remain limited to what this chunk supports.",1,0.592,open educational note,medium,relevant,yes,no
EVD-00016-2,SMP-00016,DOC-0090,"Environment Reference Note 090: What is renewable energy. Evidence summary: Air pollution is the presence of harmful substances in the air that can affect health, climate, visibility, and ecosystems. Validation note: answer claims should remain limited to what this chunk supports.",2,0.875,domain reference summary,medium,irrelevant,yes,no
EVD-00016-3,SMP-00016,DOC-0078,"Environment Reference Note 078: How does deforestation affect ecosystems. Evidence summary: Air pollution is the presence of harmful substances in the air that can affect health, climate, visibility, and ecosystems. Validation note: answer claims should remain limited to what this chunk supports.",3,0.752,public-domain style explainer,medium,partially relevant,no,yes
EVD-00017-1,SMP-00017,DOC-0004,Finance Reference Note 004: Why is an emergency fund useful. Evidence summary: Credit risk is the possibility that a borrower or counterparty may fail to repay debt or meet financial obligations. Validation note: answer claims should remain limited to what this chunk supports.,1,0.814,open educational note,high,relevant,yes,no
EVD-00017-2,SMP-00017,DOC-0098,Finance Reference Note 098: How does compound interest work. Evidence summary: Credit risk is the possibility that a borrower or counterparty may fail to repay debt or meet financial obligations. Validation note: answer claims should remain limited to what this chunk supports.,2,0.458,curated knowledge card,medium,relevant,yes,no
EVD-00017-3,SMP-00017,DOC-0029,Finance Reference Note 029: How does compound interest work. Evidence summary: Credit risk is the possibility that a borrower or counterparty may fail to repay debt or meet financial obligations. Validation note: answer claims should remain limited to what this chunk supports.,3,0.613,synthetic policy brief,high,relevant,yes,no
EVD-00018-1,SMP-00018,DOC-0068,"Education Reference Note 068: What is formative assessment. Evidence summary: Active recall improves learning by making students retrieve information from memory, strengthening retention and revealing knowledge gaps. Validation note: answer claims should remain limited to what this chunk supports.",1,0.832,synthetic policy brief,high,relevant,yes,no
EVD-00018-2,SMP-00018,DOC-0115,"Education Reference Note 115: How does active recall improve learning. Evidence summary: Active recall improves learning by making students retrieve information from memory, strengthening retention and revealing knowledge gaps. Validation note: answer claims should remain limited to what this chunk supports.",2,0.682,open educational note,high,partially relevant,yes,no
EVD-00018-3,SMP-00018,DOC-0108,"Education Reference Note 108: What is a learning objective. Evidence summary: Active recall improves learning by making students retrieve information from memory, strengthening retention and revealing knowledge gaps. Validation note: answer claims should remain limited to what this chunk supports.",3,0.663,open educational note,low,relevant,yes,no
EVD-00019-1,SMP-00019,DOC-0086,"Environment Reference Note 086: What is air pollution. Evidence summary: Climate adaptation means adjusting systems, infrastructure, and behavior to reduce harm from current or expected climate impacts. Validation note: answer claims should remain limited to what this chunk supports.",1,0.875,public-domain style explainer,medium,relevant,yes,no
EVD-00019-2,SMP-00019,DOC-0016,"Environment Reference Note 016: What is climate adaptation. Evidence summary: Climate adaptation means adjusting systems, infrastructure, and behavior to reduce harm from current or expected climate impacts. Validation note: answer claims should remain limited to what this chunk supports.",2,0.567,public-domain style explainer,high,relevant,yes,no
EVD-00019-3,SMP-00019,DOC-0034,"Environment Reference Note 034: What is renewable energy. Evidence summary: Climate adaptation means adjusting systems, infrastructure, and behavior to reduce harm from current or expected climate impacts. Validation note: answer claims should remain limited to what this chunk supports.",3,0.709,curated knowledge card,high,partially relevant,no,no
EVD-00020-1,SMP-00020,DOC-0016,"Environment Reference Note 016: What is climate adaptation. Evidence summary: Climate adaptation means adjusting systems, infrastructure, and behavior to reduce harm from current or expected climate impacts. Validation note: answer claims should remain limited to what this chunk supports.",1,0.729,public-domain style explainer,medium,relevant,yes,no
EVD-00020-2,SMP-00020,DOC-0069,"Environment Reference Note 069: How does deforestation affect ecosystems. Evidence summary: Climate adaptation means adjusting systems, infrastructure, and behavior to reduce harm from current or expected climate impacts. Validation note: answer claims should remain limited to what this chunk supports.",2,0.557,domain reference summary,medium,partially relevant,yes,yes
EVD-00020-3,SMP-00020,DOC-0022,"Environment Reference Note 022: What is renewable energy. Evidence summary: Climate adaptation means adjusting systems, infrastructure, and behavior to reduce harm from current or expected climate impacts. Validation note: answer claims should remain limited to what this chunk supports.",3,0.702,synthetic policy brief,high,partially relevant,no,no
EVD-00021-1,SMP-00021,DOC-0113,Finance Reference Note 113: Why is an emergency fund useful. Evidence summary: Credit risk is the possibility that a borrower or counterparty may fail to repay debt or meet financial obligations. Validation note: answer claims should remain limited to what this chunk supports.,1,0.788,domain reference summary,medium,relevant,yes,yes
EVD-00021-2,SMP-00021,DOC-0099,Finance Reference Note 099: What is diversification in investment. Evidence summary: Credit risk is the possibility that a borrower or counterparty may fail to repay debt or meet financial obligations. Validation note: answer claims should remain limited to what this chunk supports.,2,0.795,public-domain style explainer,medium,relevant,yes,no
EVD-00021-3,SMP-00021,DOC-0029,Finance Reference Note 029: How does compound interest work. Evidence summary: Credit risk is the possibility that a borrower or counterparty may fail to repay debt or meet financial obligations. Validation note: answer claims should remain limited to what this chunk supports.,3,0.387,synthetic policy brief,medium,relevant,yes,no
EVD-00022-1,SMP-00022,DOC-0117,"Technology Reference Note 117: What is retrieval-augmented generation. Evidence summary: Data preprocessing prepares raw data through cleaning, formatting, normalization, encoding, and feature creation before analysis or modeling. Validation note: answer claims should remain limited to what this chunk supports.",1,0.781,curated knowledge card,high,relevant,yes,yes
EVD-00022-2,SMP-00022,DOC-0047,"Technology Reference Note 047: What is data preprocessing. Evidence summary: Data preprocessing prepares raw data through cleaning, formatting, normalization, encoding, and feature creation before analysis or modeling. Validation note: answer claims should remain limited to what this chunk supports.",2,0.563,synthetic policy brief,high,relevant,yes,no
EVD-00022-3,SMP-00022,DOC-0030,"Technology Reference Note 030: What is an API. Evidence summary: Data preprocessing prepares raw data through cleaning, formatting, normalization, encoding, and feature creation before analysis or modeling. Validation note: answer claims should remain limited to what this chunk supports.",3,0.651,curated knowledge card,high,relevant,yes,no
EVD-00023-1,SMP-00023,DOC-0032,Technology Reference Note 032: What is an API. Evidence summary: An API is a set of rules that allows software systems to communicate and exchange data or functionality. Validation note: answer claims should remain limited to what this chunk supports.,1,0.904,domain reference summary,medium,relevant,no,no
EVD-00023-2,SMP-00023,DOC-0007,Technology Reference Note 007: Why is model evaluation important. Evidence summary: An API is a set of rules that allows software systems to communicate and exchange data or functionality. Validation note: answer claims should remain limited to what this chunk supports.,2,0.547,curated knowledge card,high,partially relevant,no,no
EVD-00023-3,SMP-00023,DOC-0054,Technology Reference Note 054: What is retrieval-augmented generation. Evidence summary: An API is a set of rules that allows software systems to communicate and exchange data or functionality. Validation note: answer claims should remain limited to what this chunk supports.,3,0.499,domain reference summary,medium,relevant,yes,no
EVD-00024-1,SMP-00024,DOC-0113,"Finance Reference Note 113: Why is an emergency fund useful. Evidence summary: Inflation is the general rise in prices over time. It reduces purchasing power and affects savings, wages, and investment returns. Validation note: answer claims should remain limited to what this chunk supports.",1,0.657,synthetic policy brief,high,relevant,yes,yes
EVD-00024-2,SMP-00024,DOC-0113,"Finance Reference Note 113: Why is an emergency fund useful. Evidence summary: Inflation is the general rise in prices over time. It reduces purchasing power and affects savings, wages, and investment returns. Validation note: answer claims should remain limited to what this chunk supports.",2,0.722,public-domain style explainer,medium,relevant,yes,no
EVD-00024-3,SMP-00024,DOC-0113,"Finance Reference Note 113: Why is an emergency fund useful. Evidence summary: Inflation is the general rise in prices over time. It reduces purchasing power and affects savings, wages, and investment returns. Validation note: answer claims should remain limited to what this chunk supports.",3,0.442,public-domain style explainer,high,relevant,yes,no
EVD-00025-1,SMP-00025,DOC-0090,"Environment Reference Note 090: What is renewable energy. Evidence summary: Renewable energy comes from naturally replenished sources such as solar, wind, hydro, geothermal, and biomass. Validation note: answer claims should remain limited to what this chunk supports.",1,0.748,open educational note,high,relevant,yes,no
EVD-00025-2,SMP-00025,DOC-0078,"Environment Reference Note 078: How does deforestation affect ecosystems. Evidence summary: Renewable energy comes from naturally replenished sources such as solar, wind, hydro, geothermal, and biomass. Validation note: answer claims should remain limited to what this chunk supports.",2,0.655,domain reference summary,medium,partially relevant,yes,no
EVD-00025-3,SMP-00025,DOC-0069,"Environment Reference Note 069: How does deforestation affect ecosystems. Evidence summary: Renewable energy comes from naturally replenished sources such as solar, wind, hydro, geothermal, and biomass. Validation note: answer claims should remain limited to what this chunk supports.",3,0.621,domain reference summary,high,relevant,yes,no
EVD-00026-1,SMP-00026,DOC-0085,"Technology Reference Note 085: What is an API. Evidence summary: A vector database stores embeddings and supports similarity search, helping systems retrieve semantically related text, images, or other data. Validation note: answer claims should remain limited to what this chunk supports.",1,0.708,open educational note,high,relevant,yes,no
EVD-00026-2,SMP-00026,DOC-0047,"Technology Reference Note 047: What is data preprocessing. Evidence summary: A vector database stores embeddings and supports similarity search, helping systems retrieve semantically related text, images, or other data. Validation note: answer claims should remain limited to what this chunk supports.",2,0.856,synthetic policy brief,high,relevant,yes,no
EVD-00026-3,SMP-00026,DOC-0036,"Technology Reference Note 036: What is a vector database used for. Evidence summary: A vector database stores embeddings and supports similarity search, helping systems retrieve semantically related text, images, or other data. Validation note: answer claims should remain limited to what this chunk supports.",3,0.81,open educational note,medium,relevant,yes,no
EVD-00027-1,SMP-00027,DOC-0070,"Education Reference Note 070: What is formative assessment. Evidence summary: Active recall improves learning by making students retrieve information from memory, strengthening retention and revealing knowledge gaps. Validation note: answer claims should remain limited to what this chunk supports.",1,0.801,open educational note,high,partially relevant,no,no
EVD-00027-2,SMP-00027,DOC-0092,"Education Reference Note 092: How does active recall improve learning. Evidence summary: Active recall improves learning by making students retrieve information from memory, strengthening retention and revealing knowledge gaps. Validation note: answer claims should remain limited to what this chunk supports.",2,0.634,curated knowledge card,high,relevant,no,no
EVD-00027-3,SMP-00027,DOC-0065,"Education Reference Note 065: How does active recall improve learning. Evidence summary: Active recall improves learning by making students retrieve information from memory, strengthening retention and revealing knowledge gaps. Validation note: answer claims should remain limited to what this chunk supports.",3,0.533,open educational note,low,relevant,yes,no
EVD-00028-1,SMP-00028,DOC-0018,"Technology Reference Note 018: Why is model evaluation important. Evidence summary: Model evaluation measures performance, reliability, bias, errors, and suitability before deployment. Validation note: answer claims should remain limited to what this chunk supports.",1,0.743,public-domain style explainer,medium,partially relevant,yes,no
EVD-00028-2,SMP-00028,DOC-0103,"Technology Reference Note 103: What is a vector database used for. Evidence summary: Model evaluation measures performance, reliability, bias, errors, and suitability before deployment. Validation note: answer claims should remain limited to what this chunk supports.",2,0.67,synthetic policy brief,high,relevant,yes,no
EVD-00028-3,SMP-00028,DOC-0114,"Technology Reference Note 114: What is retrieval-augmented generation. Evidence summary: Model evaluation measures performance, reliability, bias, errors, and suitability before deployment. Validation note: answer claims should remain limited to what this chunk supports.",3,0.574,synthetic policy brief,medium,relevant,yes,no
EVD-00029-1,SMP-00029,DOC-0028,"Healthcare Reference Note 028: What is the recommended first-line lifestyle advice fo. Evidence summary: Antibiotics target bacteria, not viruses. Unnecessary use can cause side effects and contribute to antimicrobial resistance. Validation note: answer claims should remain limited to what this chunk supports.",1,0.669,open educational note,high,relevant,yes,yes
EVD-00029-2,SMP-00029,DOC-0039,"Healthcare Reference Note 039: What is the recommended first-line lifestyle advice fo. Evidence summary: Antibiotics target bacteria, not viruses. Unnecessary use can cause side effects and contribute to antimicrobial resistance. Validation note: answer claims should remain limited to what this chunk supports.",2,0.642,public-domain style explainer,medium,partially relevant,yes,yes
EVD-00029-3,SMP-00029,DOC-0075,"Healthcare Reference Note 075: What is the recommended first-line lifestyle advice fo. Evidence summary: Antibiotics target bacteria, not viruses. Unnecessary use can cause side effects and contribute to antimicrobial resistance. Validation note: answer claims should remain limited to what this chunk supports.",3,0.434,open educational note,high,partially relevant,yes,no
EVD-00030-1,SMP-00030,DOC-0033,"Healthcare Reference Note 033: What are common warning signs of dehydration. Evidence summary: Diabetes may delay wound healing through impaired blood flow, reduced immune response, neuropathy, and higher risk of infection. Validation note: answer claims should remain limited to what this chunk supports.",1,0.718,curated knowledge card,high,relevant,yes,yes
EVD-00030-2,SMP-00030,DOC-0075,"Healthcare Reference Note 075: What is the recommended first-line lifestyle advice fo. Evidence summary: Diabetes may delay wound healing through impaired blood flow, reduced immune response, neuropathy, and higher risk of infection. Validation note: answer claims should remain limited to what this chunk supports.",2,0.616,curated knowledge card,medium,partially relevant,no,no
EVD-00030-3,SMP-00030,DOC-0118,"Healthcare Reference Note 118: What are common warning signs of dehydration. Evidence summary: Diabetes may delay wound healing through impaired blood flow, reduced immune response, neuropathy, and higher risk of infection. Validation note: answer claims should remain limited to what this chunk supports.",3,0.799,public-domain style explainer,medium,relevant,yes,no
EVD-00031-1,SMP-00031,DOC-0036,Technology Reference Note 036: What is a vector database used for. Evidence summary: Retrieval-augmented generation combines information retrieval with text generation so a model can answer using external context instead of relying only on internal parameters. Validation note: answer claims should remain limited to what this chunk supports.,1,0.595,curated knowledge card,high,relevant,yes,no
EVD-00031-2,SMP-00031,DOC-0057,Technology Reference Note 057: What is retrieval-augmented generation. Evidence summary: Retrieval-augmented generation combines information retrieval with text generation so a model can answer using external context instead of relying only on internal parameters. Validation note: answer claims should remain limited to what this chunk supports.,2,0.593,domain reference summary,medium,relevant,yes,no
EVD-00031-3,SMP-00031,DOC-0091,Technology Reference Note 091: What is an API. Evidence summary: Retrieval-augmented generation combines information retrieval with text generation so a model can answer using external context instead of relying only on internal parameters. Validation note: answer claims should remain limited to what this chunk supports.,3,0.538,domain reference summary,low,partially relevant,no,no
EVD-00032-1,SMP-00032,DOC-0001,"Environment Reference Note 001: What is renewable energy. Evidence summary: Water conservation helps protect limited freshwater resources, reduce energy use, and support ecosystems and communities. Validation note: answer claims should remain limited to what this chunk supports.",1,0.591,open educational note,low,relevant,yes,no
EVD-00032-2,SMP-00032,DOC-0101,"Environment Reference Note 101: What is renewable energy. Evidence summary: Water conservation helps protect limited freshwater resources, reduce energy use, and support ecosystems and communities. Validation note: answer claims should remain limited to what this chunk supports.",2,0.726,public-domain style explainer,high,relevant,yes,no
EVD-00032-3,SMP-00032,DOC-0090,"Environment Reference Note 090: What is renewable energy. Evidence summary: Water conservation helps protect limited freshwater resources, reduce energy use, and support ecosystems and communities. Validation note: answer claims should remain limited to what this chunk supports.",3,0.557,synthetic policy brief,medium,relevant,yes,no
